Ground Truth ToA: 58.693233489990234, Coarse ToA: 56.93443298339844, Fine ToA: 74.03768157958984
Ground Truth ToA: 82.01673126220703, Coarse ToA: 80.6572036743164, Fine ToA: 119.83907318115234
Ground Truth ToA: 98.62847137451172, Coarse ToA: 96.90729522705078, Fine ToA: 95.92144012451172
Ground Truth ToA: 128.67295837402344, Coarse ToA: 122.4831314086914, Fine ToA: 124.79510498046875
Ground Truth ToA: 104.40440368652344, Coarse ToA: 100.49158477783203, Fine ToA: 56.85924530029297
Ground Truth ToA: 55.366737365722656, Coarse ToA: 61.200172424316406, Fine ToA: 56.76605987548828
Ground Truth ToA: 132.0052032470703, Coarse ToA: 132.13864135742188, Fine ToA: 102.315185546875
Ground Truth ToA: 61.33939743041992, Coarse ToA: 60.30287551879883, Fine ToA: 60.30912399291992
Ground Truth ToA: 83.15962219238281, Coarse ToA: 83.1810302734375, Fine ToA: 81.41754913330078
Ground Truth ToA: 127.20945739746094, Coarse ToA: 124.70963287353516, Fine ToA: 126.51274871826172
Ground Truth ToA: 144.2190399169922, Coarse ToA: 144.0337677001953, Fine ToA: 145.7301025390625
Ground Truth ToA: 62.92294692993164, Coarse ToA: 59.85496139526367, Fine ToA: 60.42244338989258
Ground Truth ToA: 125.55523681640625, Coarse ToA: 124.89134216308594, Fine ToA: 124.8938217163086
Ground Truth ToA: 128.4947509765625, Coarse ToA: 124.06688690185547, Fine ToA: 94.1217041015625
Ground Truth ToA: 84.0683822631836, Coarse ToA: 86.1039810180664, Fine ToA: 82.22640228271484
Ground Truth ToA: 109.15833282470703, Coarse ToA: 103.8330307006836, Fine ToA: 106.04606628417969
Ground Truth ToA: 143.05873107910156, Coarse ToA: 140.6046905517578, Fine ToA: 141.69854736328125
Ground Truth ToA: 89.99394226074219, Coarse ToA: 92.12788391113281, Fine ToA: 91.71299743652344
Ground Truth ToA: 57.856788635253906, Coarse ToA: 56.306400299072266, Fine ToA: 57.61805725097656
Ground Truth ToA: 51.53306198120117, Coarse ToA: 50.444664001464844, Fine ToA: 49.968265533447266
Ground Truth ToA: 66.77970886230469, Coarse ToA: 67.81934356689453, Fine ToA: 66.37357330322266
Ground Truth ToA: 65.77022552490234, Coarse ToA: 68.85379791259766, Fine ToA: 69.76429748535156
Ground Truth ToA: 109.8094711303711, Coarse ToA: 105.67977905273438, Fine ToA: 106.85379791259766
Ground Truth ToA: 84.50483703613281, Coarse ToA: 86.20977783203125, Fine ToA: 84.07159423828125
Ground Truth ToA: 91.44412231445312, Coarse ToA: 90.14260864257812, Fine ToA: 91.29532623291016
Ground Truth ToA: 99.72724151611328, Coarse ToA: 97.7780990600586, Fine ToA: 95.33697509765625
Ground Truth ToA: 144.10122680664062, Coarse ToA: 141.30740356445312, Fine ToA: 142.35549926757812
Ground Truth ToA: 101.71150970458984, Coarse ToA: 102.75996398925781, Fine ToA: 103.10948181152344
Ground Truth ToA: 139.25900268554688, Coarse ToA: 142.02703857421875, Fine ToA: 139.724853515625
Ground Truth ToA: 75.81095123291016, Coarse ToA: 73.10462188720703, Fine ToA: 60.02194595336914
Ground Truth ToA: 86.64978790283203, Coarse ToA: 86.32964324951172, Fine ToA: 86.15523529052734
Ground Truth ToA: 88.96868133544922, Coarse ToA: 89.32303619384766, Fine ToA: 95.86141204833984
Ground Truth ToA: 117.61103820800781, Coarse ToA: 123.39205932617188, Fine ToA: 119.45127868652344
Ground Truth ToA: 108.99708557128906, Coarse ToA: 114.046630859375, Fine ToA: 111.4468002319336
Ground Truth ToA: 140.95550537109375, Coarse ToA: 140.3702850341797, Fine ToA: 141.0355987548828
Ground Truth ToA: 134.29644775390625, Coarse ToA: 131.43385314941406, Fine ToA: 131.49343872070312
Ground Truth ToA: 119.78528594970703, Coarse ToA: 116.90239715576172, Fine ToA: 118.59602355957031
Ground Truth ToA: 114.37743377685547, Coarse ToA: 121.21247100830078, Fine ToA: 119.64151763916016
Ground Truth ToA: 60.273101806640625, Coarse ToA: 61.224510192871094, Fine ToA: 61.79524612426758
Ground Truth ToA: 128.0428009033203, Coarse ToA: 123.3736572265625, Fine ToA: 79.54985809326172
Ground Truth ToA: 137.55982971191406, Coarse ToA: 136.7412567138672, Fine ToA: 136.37696838378906
Ground Truth ToA: 70.77034759521484, Coarse ToA: 66.91168975830078, Fine ToA: 69.04081726074219
Ground Truth ToA: 93.24827575683594, Coarse ToA: 118.62317657470703, Fine ToA: 109.86502838134766
Ground Truth ToA: 81.20904541015625, Coarse ToA: 76.81068420410156, Fine ToA: 78.29393768310547
Ground Truth ToA: 109.64175415039062, Coarse ToA: 104.03129577636719, Fine ToA: 106.81785583496094
Ground Truth ToA: 138.0274658203125, Coarse ToA: 133.63449096679688, Fine ToA: 129.7541961669922
Ground Truth ToA: 114.60887145996094, Coarse ToA: 120.16290283203125, Fine ToA: 118.47496795654297
Ground Truth ToA: 75.583984375, Coarse ToA: 77.27783966064453, Fine ToA: 78.88619995117188
Ground Truth ToA: 60.12628173828125, Coarse ToA: 65.39869689941406, Fine ToA: 147.0967559814453
Ground Truth ToA: 54.756221771240234, Coarse ToA: 54.693336486816406, Fine ToA: 84.52769470214844
Ground Truth ToA: 148.79676818847656, Coarse ToA: 147.0475311279297, Fine ToA: 149.8195343017578
Ground Truth ToA: 61.07208251953125, Coarse ToA: 61.89675521850586, Fine ToA: 62.28724670410156
Ground Truth ToA: 53.11846923828125, Coarse ToA: 52.005611419677734, Fine ToA: 53.61183166503906
Ground Truth ToA: 80.3743896484375, Coarse ToA: 80.1044692993164, Fine ToA: 78.82418823242188
Ground Truth ToA: 93.3901138305664, Coarse ToA: 97.15283966064453, Fine ToA: 97.15811157226562
Ground Truth ToA: 50.44736862182617, Coarse ToA: 50.37588119506836, Fine ToA: 49.80374526977539
Ground Truth ToA: 100.0571060180664, Coarse ToA: 101.98177337646484, Fine ToA: 134.89964294433594
Ground Truth ToA: 113.8568344116211, Coarse ToA: 128.10446166992188, Fine ToA: 132.12545776367188
Ground Truth ToA: 138.4732208251953, Coarse ToA: 144.4766387939453, Fine ToA: 142.86289978027344
Ground Truth ToA: 138.7030029296875, Coarse ToA: 133.8448486328125, Fine ToA: 136.05136108398438
Ground Truth ToA: 75.28306579589844, Coarse ToA: 73.01296997070312, Fine ToA: 72.33680725097656
Ground Truth ToA: 113.0099868774414, Coarse ToA: 105.35453033447266, Fine ToA: 109.10335540771484
Ground Truth ToA: 134.07183837890625, Coarse ToA: 132.58282470703125, Fine ToA: 134.03076171875
Ground Truth ToA: 142.79454040527344, Coarse ToA: 139.2274932861328, Fine ToA: 118.32970428466797
Ground Truth ToA: 51.24945831298828, Coarse ToA: 53.976436614990234, Fine ToA: 52.12141036987305
Ground Truth ToA: 85.62093353271484, Coarse ToA: 84.92289733886719, Fine ToA: 85.46598815917969
Ground Truth ToA: 57.97190475463867, Coarse ToA: 61.984310150146484, Fine ToA: 58.481685638427734
Ground Truth ToA: 132.36575317382812, Coarse ToA: 136.62718200683594, Fine ToA: 131.6875762939453
Ground Truth ToA: 127.04864501953125, Coarse ToA: 123.70020294189453, Fine ToA: 96.07763671875
Ground Truth ToA: 81.4068374633789, Coarse ToA: 79.15742492675781, Fine ToA: 87.44549560546875
Ground Truth ToA: 94.75113677978516, Coarse ToA: 95.98005676269531, Fine ToA: 93.10685729980469
Ground Truth ToA: 79.91874694824219, Coarse ToA: 77.77003479003906, Fine ToA: 77.94709777832031
Ground Truth ToA: 103.56133270263672, Coarse ToA: 101.4415054321289, Fine ToA: 100.92985534667969
Ground Truth ToA: 145.12326049804688, Coarse ToA: 143.24093627929688, Fine ToA: 62.9758186340332
Ground Truth ToA: 148.8681640625, Coarse ToA: 148.57901000976562, Fine ToA: 147.88809204101562
Ground Truth ToA: 60.065311431884766, Coarse ToA: 58.28879165649414, Fine ToA: 58.064674377441406
Ground Truth ToA: 81.65390014648438, Coarse ToA: 83.5562973022461, Fine ToA: 81.08045959472656
Ground Truth ToA: 68.92845916748047, Coarse ToA: 70.89521026611328, Fine ToA: 69.97441864013672
Ground Truth ToA: 126.91278076171875, Coarse ToA: 122.73181915283203, Fine ToA: 125.89955139160156
Ground Truth ToA: 55.19538879394531, Coarse ToA: 54.63744354248047, Fine ToA: 54.420204162597656
Ground Truth ToA: 113.28208923339844, Coarse ToA: 117.56204986572266, Fine ToA: 117.4250259399414
Ground Truth ToA: 108.93385314941406, Coarse ToA: 104.40653991699219, Fine ToA: 105.54090118408203
Ground Truth ToA: 65.9129867553711, Coarse ToA: 70.9607925415039, Fine ToA: 70.90726470947266
Ground Truth ToA: 137.4849090576172, Coarse ToA: 141.6400604248047, Fine ToA: 138.96707153320312
Ground Truth ToA: 62.67424392700195, Coarse ToA: 62.14041519165039, Fine ToA: 62.814151763916016
Ground Truth ToA: 130.63804626464844, Coarse ToA: 129.83616638183594, Fine ToA: 129.2973175048828
Ground Truth ToA: 116.6869888305664, Coarse ToA: 117.31293487548828, Fine ToA: 117.49703216552734
Ground Truth ToA: 132.9153289794922, Coarse ToA: 145.05783081054688, Fine ToA: 79.16242218017578
Ground Truth ToA: 94.91329956054688, Coarse ToA: 92.92039489746094, Fine ToA: 61.253353118896484
Ground Truth ToA: 94.25782775878906, Coarse ToA: 90.3533706665039, Fine ToA: 128.9167938232422
Ground Truth ToA: 121.33839416503906, Coarse ToA: 117.68540954589844, Fine ToA: 120.60892486572266
Ground Truth ToA: 58.32155227661133, Coarse ToA: 56.068450927734375, Fine ToA: 56.50566864013672
Ground Truth ToA: 101.63571166992188, Coarse ToA: 102.66835021972656, Fine ToA: 102.59379577636719
Ground Truth ToA: 92.90430450439453, Coarse ToA: 97.04228210449219, Fine ToA: 70.98197937011719
Ground Truth ToA: 60.3968505859375, Coarse ToA: 59.360782623291016, Fine ToA: 58.35896682739258
Ground Truth ToA: 88.89252471923828, Coarse ToA: 86.13954162597656, Fine ToA: 87.85111236572266
Ground Truth ToA: 72.41517639160156, Coarse ToA: 72.34672546386719, Fine ToA: 72.70216369628906
Ground Truth ToA: 143.76800537109375, Coarse ToA: 138.9132843017578, Fine ToA: 140.32081604003906
Ground Truth ToA: 88.83729553222656, Coarse ToA: 82.89225006103516, Fine ToA: 84.70066833496094
Ground Truth ToA: 146.15345764160156, Coarse ToA: 133.85682678222656, Fine ToA: 138.00941467285156
Ground Truth ToA: 66.75202178955078, Coarse ToA: 63.111305236816406, Fine ToA: 63.75027847290039
Ground Truth ToA: 95.90325164794922, Coarse ToA: 90.92127227783203, Fine ToA: 99.50399780273438
Ground Truth ToA: 145.68115234375, Coarse ToA: 142.6068878173828, Fine ToA: 144.2084503173828
Ground Truth ToA: 82.69216918945312, Coarse ToA: 78.0788803100586, Fine ToA: 79.44206237792969
Ground Truth ToA: 76.04939270019531, Coarse ToA: 72.98880004882812, Fine ToA: 74.38803100585938
Ground Truth ToA: 136.35765075683594, Coarse ToA: 138.24119567871094, Fine ToA: 136.8483428955078
Ground Truth ToA: 100.62460327148438, Coarse ToA: 100.39282989501953, Fine ToA: 98.53785705566406
Ground Truth ToA: 57.850364685058594, Coarse ToA: 55.1549186706543, Fine ToA: 101.83566284179688
Ground Truth ToA: 52.07139587402344, Coarse ToA: 52.10553741455078, Fine ToA: 51.815006256103516
Ground Truth ToA: 54.720096588134766, Coarse ToA: 54.272342681884766, Fine ToA: 53.86176300048828
Ground Truth ToA: 98.12224578857422, Coarse ToA: 95.44999694824219, Fine ToA: 95.35877227783203
Ground Truth ToA: 91.18695068359375, Coarse ToA: 89.12542724609375, Fine ToA: 90.9844970703125
Ground Truth ToA: 136.22251892089844, Coarse ToA: 132.2232666015625, Fine ToA: 134.5252685546875
Ground Truth ToA: 99.79762268066406, Coarse ToA: 96.28276062011719, Fine ToA: 96.7159423828125
Ground Truth ToA: 81.91185760498047, Coarse ToA: 80.50955963134766, Fine ToA: 78.88479614257812
Ground Truth ToA: 131.94253540039062, Coarse ToA: 133.12557983398438, Fine ToA: 130.49012756347656
Ground Truth ToA: 144.86399841308594, Coarse ToA: 145.05589294433594, Fine ToA: 148.02806091308594
Ground Truth ToA: 140.12294006347656, Coarse ToA: 139.4120330810547, Fine ToA: 137.34628295898438
Ground Truth ToA: 62.541080474853516, Coarse ToA: 62.45295333862305, Fine ToA: 62.61040496826172
Ground Truth ToA: 53.845062255859375, Coarse ToA: 53.273162841796875, Fine ToA: 52.90669631958008
Ground Truth ToA: 87.85118865966797, Coarse ToA: 88.25144958496094, Fine ToA: 87.69244384765625
Ground Truth ToA: 138.70260620117188, Coarse ToA: 136.1980743408203, Fine ToA: 138.1168975830078
Ground Truth ToA: 50.90535354614258, Coarse ToA: 54.20063781738281, Fine ToA: 51.97935485839844
Ground Truth ToA: 85.4081802368164, Coarse ToA: 84.53601837158203, Fine ToA: 82.96504974365234
Ground Truth ToA: 133.34593200683594, Coarse ToA: 129.42848205566406, Fine ToA: 133.30474853515625
Ground Truth ToA: 84.81986236572266, Coarse ToA: 89.4219970703125, Fine ToA: 89.94679260253906
Ground Truth ToA: 137.6587677001953, Coarse ToA: 136.56686401367188, Fine ToA: 135.90130615234375
Ground Truth ToA: 111.5438232421875, Coarse ToA: 109.51195526123047, Fine ToA: 111.39603424072266
Ground Truth ToA: 60.64955139160156, Coarse ToA: 61.19757843017578, Fine ToA: 59.609642028808594
Ground Truth ToA: 114.65656280517578, Coarse ToA: 111.66443634033203, Fine ToA: 112.82471466064453
Ground Truth ToA: 134.1831512451172, Coarse ToA: 127.9974365234375, Fine ToA: 121.70867156982422
Ground Truth ToA: 62.470794677734375, Coarse ToA: 60.812721252441406, Fine ToA: 61.42195510864258
Ground Truth ToA: 75.40872192382812, Coarse ToA: 75.18668365478516, Fine ToA: 73.9869613647461
Ground Truth ToA: 134.69923400878906, Coarse ToA: 133.21507263183594, Fine ToA: 132.98097229003906
Ground Truth ToA: 54.85346984863281, Coarse ToA: 53.25191879272461, Fine ToA: 53.193145751953125
Ground Truth ToA: 119.24790954589844, Coarse ToA: 111.7796401977539, Fine ToA: 63.9290885925293
Ground Truth ToA: 107.8715591430664, Coarse ToA: 105.17465209960938, Fine ToA: 106.2713851928711
Ground Truth ToA: 84.55140686035156, Coarse ToA: 90.97342681884766, Fine ToA: 88.94171905517578
Ground Truth ToA: 61.11035919189453, Coarse ToA: 55.73419952392578, Fine ToA: 111.30594635009766
Ground Truth ToA: 123.01576232910156, Coarse ToA: 120.10753631591797, Fine ToA: 101.29695129394531
Ground Truth ToA: 66.7528305053711, Coarse ToA: 64.17823791503906, Fine ToA: 111.62728118896484
Ground Truth ToA: 115.9866943359375, Coarse ToA: 114.41581726074219, Fine ToA: 113.60810852050781
Ground Truth ToA: 54.91566467285156, Coarse ToA: 57.725074768066406, Fine ToA: 59.140167236328125
Ground Truth ToA: 135.57095336914062, Coarse ToA: 131.8317413330078, Fine ToA: 108.3309326171875
Ground Truth ToA: 120.50365447998047, Coarse ToA: 123.54551696777344, Fine ToA: 123.13502502441406
Ground Truth ToA: 85.51598358154297, Coarse ToA: 85.80165100097656, Fine ToA: 84.4686279296875
Ground Truth ToA: 62.107666015625, Coarse ToA: 57.43323516845703, Fine ToA: 58.86656188964844
Ground Truth ToA: 139.9733123779297, Coarse ToA: 142.27719116210938, Fine ToA: 142.4552764892578
Ground Truth ToA: 91.60286712646484, Coarse ToA: 95.28887176513672, Fine ToA: 95.11463165283203
Ground Truth ToA: 95.99895477294922, Coarse ToA: 100.42298126220703, Fine ToA: 100.46747589111328
Ground Truth ToA: 129.5538330078125, Coarse ToA: 132.9701690673828, Fine ToA: 129.9969940185547
Ground Truth ToA: 101.25350189208984, Coarse ToA: 98.5118637084961, Fine ToA: 99.41385650634766
Ground Truth ToA: 95.00701904296875, Coarse ToA: 97.14778900146484, Fine ToA: 95.00172424316406
Ground Truth ToA: 129.2174835205078, Coarse ToA: 115.86249542236328, Fine ToA: 87.53406524658203
Ground Truth ToA: 74.3923568725586, Coarse ToA: 72.81998443603516, Fine ToA: 71.6333999633789
Ground Truth ToA: 123.37651824951172, Coarse ToA: 121.04552459716797, Fine ToA: 120.39633178710938
Ground Truth ToA: 109.99040222167969, Coarse ToA: 109.99475860595703, Fine ToA: 108.97093200683594
Ground Truth ToA: 75.58573913574219, Coarse ToA: 80.8707275390625, Fine ToA: 81.09921264648438
Ground Truth ToA: 119.82196044921875, Coarse ToA: 122.20942687988281, Fine ToA: 100.24340057373047
Ground Truth ToA: 129.9197540283203, Coarse ToA: 130.77622985839844, Fine ToA: 129.50283813476562
Ground Truth ToA: 97.58024597167969, Coarse ToA: 97.7741470336914, Fine ToA: 98.0199203491211
Ground Truth ToA: 69.02129364013672, Coarse ToA: 68.42247772216797, Fine ToA: 67.58651733398438
Ground Truth ToA: 107.30740356445312, Coarse ToA: 107.76795196533203, Fine ToA: 109.41829681396484
Ground Truth ToA: 113.17160034179688, Coarse ToA: 113.98003387451172, Fine ToA: 113.94866943359375
Ground Truth ToA: 84.12349700927734, Coarse ToA: 82.08135986328125, Fine ToA: 82.45951080322266
Ground Truth ToA: 81.01813507080078, Coarse ToA: 77.08285522460938, Fine ToA: 78.784912109375
Ground Truth ToA: 126.29617309570312, Coarse ToA: 130.1194610595703, Fine ToA: 87.03376770019531
Ground Truth ToA: 62.26651382446289, Coarse ToA: 63.371002197265625, Fine ToA: 62.4600715637207
Ground Truth ToA: 80.75724029541016, Coarse ToA: 76.93025970458984, Fine ToA: 77.4307632446289
Ground Truth ToA: 64.41271209716797, Coarse ToA: 60.92512893676758, Fine ToA: 63.5593376159668
Ground Truth ToA: 87.56907653808594, Coarse ToA: 94.56881713867188, Fine ToA: 91.20311737060547
Ground Truth ToA: 142.3466796875, Coarse ToA: 144.74545288085938, Fine ToA: 144.37486267089844
Ground Truth ToA: 63.17253875732422, Coarse ToA: 58.41139602661133, Fine ToA: 113.48445892333984
Ground Truth ToA: 79.33362579345703, Coarse ToA: 82.69017791748047, Fine ToA: 81.61284637451172
Ground Truth ToA: 94.26911163330078, Coarse ToA: 91.94757080078125, Fine ToA: 51.330894470214844
Ground Truth ToA: 133.19943237304688, Coarse ToA: 138.87864685058594, Fine ToA: 138.8557586669922
Ground Truth ToA: 142.8227081298828, Coarse ToA: 142.6952667236328, Fine ToA: 141.75669860839844
Ground Truth ToA: 134.78355407714844, Coarse ToA: 131.0, Fine ToA: 112.97545623779297
Ground Truth ToA: 92.11492156982422, Coarse ToA: 90.01140594482422, Fine ToA: 91.41633605957031
Ground Truth ToA: 78.3818359375, Coarse ToA: 71.23392486572266, Fine ToA: 72.91307067871094
Ground Truth ToA: 107.47999572753906, Coarse ToA: 108.31463623046875, Fine ToA: 106.78807830810547
Ground Truth ToA: 149.40969848632812, Coarse ToA: 141.53216552734375, Fine ToA: 122.23344421386719
Ground Truth ToA: 129.7869415283203, Coarse ToA: 125.8717269897461, Fine ToA: 103.71945190429688
Ground Truth ToA: 70.02269744873047, Coarse ToA: 71.5722885131836, Fine ToA: 72.62596130371094
Ground Truth ToA: 135.27027893066406, Coarse ToA: 130.67189025878906, Fine ToA: 133.317138671875
Ground Truth ToA: 62.72480392456055, Coarse ToA: 70.74882507324219, Fine ToA: 86.17807006835938
Ground Truth ToA: 85.74553680419922, Coarse ToA: 87.20246887207031, Fine ToA: 84.74882507324219
Ground Truth ToA: 64.23770904541016, Coarse ToA: 64.62010955810547, Fine ToA: 64.132568359375
Ground Truth ToA: 70.46446990966797, Coarse ToA: 75.52748107910156, Fine ToA: 76.47215270996094
Ground Truth ToA: 117.68878936767578, Coarse ToA: 115.21576690673828, Fine ToA: 115.06343841552734
Ground Truth ToA: 74.32464599609375, Coarse ToA: 68.87864685058594, Fine ToA: 71.25323486328125
Ground Truth ToA: 148.69606018066406, Coarse ToA: 147.58251953125, Fine ToA: 148.0697021484375
Ground Truth ToA: 104.48558044433594, Coarse ToA: 106.49649047851562, Fine ToA: 116.44513702392578
Ground Truth ToA: 88.36270904541016, Coarse ToA: 86.30388641357422, Fine ToA: 85.44480895996094
Ground Truth ToA: 81.78421020507812, Coarse ToA: 81.24898529052734, Fine ToA: 81.96390533447266
Ground Truth ToA: 71.07377624511719, Coarse ToA: 71.23416900634766, Fine ToA: 70.94381713867188
Ground Truth ToA: 85.78630828857422, Coarse ToA: 83.42264556884766, Fine ToA: 113.18355560302734
Ground Truth ToA: 89.57113647460938, Coarse ToA: 95.27404022216797, Fine ToA: 116.44520568847656
Ground Truth ToA: 76.69507598876953, Coarse ToA: 72.94187927246094, Fine ToA: 72.00386047363281
Ground Truth ToA: 102.3387222290039, Coarse ToA: 97.52857971191406, Fine ToA: 93.40921020507812
Ground Truth ToA: 100.67282104492188, Coarse ToA: 97.61981964111328, Fine ToA: 147.0819854736328
Ground Truth ToA: 72.56117248535156, Coarse ToA: 68.85200500488281, Fine ToA: 67.92266845703125
Ground Truth ToA: 144.9280242919922, Coarse ToA: 146.67446899414062, Fine ToA: 144.5328826904297
Ground Truth ToA: 134.2143096923828, Coarse ToA: 130.22689819335938, Fine ToA: 103.8033218383789
Ground Truth ToA: 71.97373962402344, Coarse ToA: 76.24378967285156, Fine ToA: 75.80171966552734
