Ground Truth ToA: 135.73028564453125, Coarse ToA: 137.71424865722656, Fine ToA: 122.51608276367188
Ground Truth ToA: 118.3156967163086, Coarse ToA: 120.25786590576172, Fine ToA: 118.29741668701172
Ground Truth ToA: 68.91556549072266, Coarse ToA: 69.82488250732422, Fine ToA: 70.4595947265625
Ground Truth ToA: 84.66255187988281, Coarse ToA: 85.93624114990234, Fine ToA: 86.88579559326172
Ground Truth ToA: 140.39035034179688, Coarse ToA: 137.12440490722656, Fine ToA: 138.91014099121094
Ground Truth ToA: 128.84043884277344, Coarse ToA: 130.45848083496094, Fine ToA: 129.045654296875
Ground Truth ToA: 134.4447021484375, Coarse ToA: 130.1840057373047, Fine ToA: 64.9045181274414
Ground Truth ToA: 88.58446502685547, Coarse ToA: 88.61176300048828, Fine ToA: 88.3707504272461
Ground Truth ToA: 91.6568374633789, Coarse ToA: 92.04569244384766, Fine ToA: 89.2297134399414
Ground Truth ToA: 87.10606384277344, Coarse ToA: 88.91513061523438, Fine ToA: 70.38809204101562
Ground Truth ToA: 104.43367004394531, Coarse ToA: 108.6682357788086, Fine ToA: 69.6273422241211
Ground Truth ToA: 56.30902099609375, Coarse ToA: 58.075321197509766, Fine ToA: 91.51282501220703
Ground Truth ToA: 63.3615837097168, Coarse ToA: 67.68146514892578, Fine ToA: 72.7064208984375
Ground Truth ToA: 90.53091430664062, Coarse ToA: 88.0421142578125, Fine ToA: 89.4411849975586
Ground Truth ToA: 122.93717956542969, Coarse ToA: 121.46127319335938, Fine ToA: 105.38978576660156
Ground Truth ToA: 72.19625854492188, Coarse ToA: 74.437744140625, Fine ToA: 74.27355194091797
Ground Truth ToA: 69.93392944335938, Coarse ToA: 74.19852447509766, Fine ToA: 72.80122375488281
Ground Truth ToA: 59.897586822509766, Coarse ToA: 56.3919792175293, Fine ToA: 57.41687774658203
Ground Truth ToA: 63.87373733520508, Coarse ToA: 59.19538879394531, Fine ToA: 93.59847259521484
Ground Truth ToA: 103.51741790771484, Coarse ToA: 101.15986633300781, Fine ToA: 101.688232421875
Ground Truth ToA: 135.32456970214844, Coarse ToA: 135.2307891845703, Fine ToA: 89.78076171875
Ground Truth ToA: 95.31531524658203, Coarse ToA: 97.07377624511719, Fine ToA: 145.6005859375
Ground Truth ToA: 100.72573852539062, Coarse ToA: 99.98782348632812, Fine ToA: 104.33091735839844
Ground Truth ToA: 104.2720718383789, Coarse ToA: 110.58631896972656, Fine ToA: 110.4756851196289
Ground Truth ToA: 116.6604232788086, Coarse ToA: 114.32450103759766, Fine ToA: 115.82892608642578
Ground Truth ToA: 122.23490905761719, Coarse ToA: 125.75979614257812, Fine ToA: 121.15840148925781
Ground Truth ToA: 64.84378051757812, Coarse ToA: 62.700565338134766, Fine ToA: 117.37328338623047
Ground Truth ToA: 104.32725524902344, Coarse ToA: 102.88400268554688, Fine ToA: 102.5618896484375
Ground Truth ToA: 140.98680114746094, Coarse ToA: 138.4091796875, Fine ToA: 139.9044647216797
Ground Truth ToA: 81.48948669433594, Coarse ToA: 79.002197265625, Fine ToA: 79.00765228271484
Ground Truth ToA: 70.81645965576172, Coarse ToA: 68.14569091796875, Fine ToA: 68.79055786132812
Ground Truth ToA: 73.42093658447266, Coarse ToA: 73.49794006347656, Fine ToA: 73.27819061279297
Ground Truth ToA: 133.8003387451172, Coarse ToA: 130.00872802734375, Fine ToA: 130.7576446533203
Ground Truth ToA: 56.3829460144043, Coarse ToA: 55.32500457763672, Fine ToA: 56.779170989990234
Ground Truth ToA: 122.84278869628906, Coarse ToA: 124.74181365966797, Fine ToA: 124.07627868652344
Ground Truth ToA: 106.73265838623047, Coarse ToA: 103.74993133544922, Fine ToA: 103.50798797607422
Ground Truth ToA: 116.47789764404297, Coarse ToA: 116.51342010498047, Fine ToA: 116.4415512084961
Ground Truth ToA: 79.22705841064453, Coarse ToA: 76.33170318603516, Fine ToA: 78.60853576660156
Ground Truth ToA: 123.53005981445312, Coarse ToA: 126.25626373291016, Fine ToA: 125.1130599975586
Ground Truth ToA: 135.53236389160156, Coarse ToA: 140.05819702148438, Fine ToA: 140.17906188964844
Ground Truth ToA: 120.01665496826172, Coarse ToA: 117.40673065185547, Fine ToA: 119.61778259277344
Ground Truth ToA: 64.88628387451172, Coarse ToA: 67.15571594238281, Fine ToA: 90.0770263671875
Ground Truth ToA: 81.79772186279297, Coarse ToA: 76.81695556640625, Fine ToA: 76.65122985839844
Ground Truth ToA: 100.16111755371094, Coarse ToA: 96.93102264404297, Fine ToA: 95.33512878417969
Ground Truth ToA: 60.29214859008789, Coarse ToA: 60.935550689697266, Fine ToA: 60.283451080322266
Ground Truth ToA: 98.9603271484375, Coarse ToA: 102.59821319580078, Fine ToA: 100.576904296875
Ground Truth ToA: 121.36370849609375, Coarse ToA: 119.81452941894531, Fine ToA: 120.43154907226562
Ground Truth ToA: 93.37806701660156, Coarse ToA: 93.13664245605469, Fine ToA: 92.74076843261719
Ground Truth ToA: 104.70211791992188, Coarse ToA: 102.37604522705078, Fine ToA: 103.80877685546875
Ground Truth ToA: 143.61013793945312, Coarse ToA: 146.7191925048828, Fine ToA: 146.9049835205078
Ground Truth ToA: 99.47525024414062, Coarse ToA: 102.44735717773438, Fine ToA: 119.58918762207031
Ground Truth ToA: 97.35380554199219, Coarse ToA: 98.92572784423828, Fine ToA: 111.69466400146484
Ground Truth ToA: 57.25285339355469, Coarse ToA: 54.09836196899414, Fine ToA: 53.65127944946289
Ground Truth ToA: 142.5406494140625, Coarse ToA: 141.71466064453125, Fine ToA: 141.61831665039062
Ground Truth ToA: 62.329952239990234, Coarse ToA: 64.23685455322266, Fine ToA: 63.165077209472656
Ground Truth ToA: 78.93781280517578, Coarse ToA: 77.66397094726562, Fine ToA: 80.2524642944336
Ground Truth ToA: 134.35853576660156, Coarse ToA: 134.00657653808594, Fine ToA: 133.85092163085938
Ground Truth ToA: 128.62123107910156, Coarse ToA: 125.20468139648438, Fine ToA: 137.51239013671875
Ground Truth ToA: 65.12137603759766, Coarse ToA: 64.8896713256836, Fine ToA: 66.70188903808594
Ground Truth ToA: 92.37488555908203, Coarse ToA: 91.82279205322266, Fine ToA: 88.89520263671875
Ground Truth ToA: 96.66414642333984, Coarse ToA: 95.459716796875, Fine ToA: 96.8145523071289
Ground Truth ToA: 125.39879608154297, Coarse ToA: 125.57557678222656, Fine ToA: 124.91898345947266
Ground Truth ToA: 109.13227844238281, Coarse ToA: 111.42030334472656, Fine ToA: 108.82401275634766
Ground Truth ToA: 86.9961166381836, Coarse ToA: 94.22598266601562, Fine ToA: 94.78973388671875
Ground Truth ToA: 144.90550231933594, Coarse ToA: 144.90533447265625, Fine ToA: 143.13543701171875
Ground Truth ToA: 73.79680633544922, Coarse ToA: 74.4448471069336, Fine ToA: 74.21685791015625
Ground Truth ToA: 127.16403198242188, Coarse ToA: 121.7613754272461, Fine ToA: 122.92740631103516
Ground Truth ToA: 71.60570526123047, Coarse ToA: 70.177978515625, Fine ToA: 70.41700744628906
Ground Truth ToA: 69.55598449707031, Coarse ToA: 70.50595092773438, Fine ToA: 70.30074310302734
Ground Truth ToA: 125.88562774658203, Coarse ToA: 126.21138000488281, Fine ToA: 124.4683609008789
Ground Truth ToA: 75.90367889404297, Coarse ToA: 80.04499053955078, Fine ToA: 59.09831237792969
Ground Truth ToA: 140.59487915039062, Coarse ToA: 140.68357849121094, Fine ToA: 139.05714416503906
Ground Truth ToA: 147.63485717773438, Coarse ToA: 146.0918426513672, Fine ToA: 147.84686279296875
Ground Truth ToA: 85.93663024902344, Coarse ToA: 80.75396728515625, Fine ToA: 81.76898193359375
Ground Truth ToA: 92.70236206054688, Coarse ToA: 93.67835998535156, Fine ToA: 93.30162811279297
Ground Truth ToA: 96.63390350341797, Coarse ToA: 93.89775848388672, Fine ToA: 120.03626251220703
Ground Truth ToA: 105.85273742675781, Coarse ToA: 99.17913818359375, Fine ToA: 103.16197204589844
Ground Truth ToA: 74.75936889648438, Coarse ToA: 74.6620101928711, Fine ToA: 75.2994155883789
Ground Truth ToA: 102.9359130859375, Coarse ToA: 101.18699645996094, Fine ToA: 144.28790283203125
Ground Truth ToA: 124.84600067138672, Coarse ToA: 128.80117797851562, Fine ToA: 127.15081787109375
Ground Truth ToA: 69.037353515625, Coarse ToA: 68.84683990478516, Fine ToA: 69.56782531738281
Ground Truth ToA: 89.99604034423828, Coarse ToA: 88.03985595703125, Fine ToA: 71.31844329833984
Ground Truth ToA: 96.59619903564453, Coarse ToA: 95.2191162109375, Fine ToA: 95.74403381347656
Ground Truth ToA: 96.9141616821289, Coarse ToA: 91.88567352294922, Fine ToA: 102.37251281738281
Ground Truth ToA: 96.40896606445312, Coarse ToA: 94.8679428100586, Fine ToA: 94.73079681396484
Ground Truth ToA: 130.93739318847656, Coarse ToA: 124.25619506835938, Fine ToA: 65.18120574951172
Ground Truth ToA: 79.48873138427734, Coarse ToA: 82.13883209228516, Fine ToA: 81.135498046875
Ground Truth ToA: 116.34241485595703, Coarse ToA: 114.02277374267578, Fine ToA: 57.01430892944336
Ground Truth ToA: 78.21179962158203, Coarse ToA: 76.92782592773438, Fine ToA: 76.16854858398438
Ground Truth ToA: 147.14698791503906, Coarse ToA: 148.590087890625, Fine ToA: 145.62635803222656
Ground Truth ToA: 50.59807586669922, Coarse ToA: 49.9288330078125, Fine ToA: 57.49716567993164
Ground Truth ToA: 112.67445373535156, Coarse ToA: 122.38680267333984, Fine ToA: 80.5162124633789
Ground Truth ToA: 93.62879943847656, Coarse ToA: 91.23949432373047, Fine ToA: 92.6566390991211
Ground Truth ToA: 117.5287094116211, Coarse ToA: 118.78260040283203, Fine ToA: 120.07198333740234
Ground Truth ToA: 133.68167114257812, Coarse ToA: 132.90615844726562, Fine ToA: 133.77894592285156
Ground Truth ToA: 127.39472961425781, Coarse ToA: 125.00542449951172, Fine ToA: 126.58500671386719
Ground Truth ToA: 53.026119232177734, Coarse ToA: 54.00448226928711, Fine ToA: 126.74333190917969
Ground Truth ToA: 68.81590270996094, Coarse ToA: 67.77831268310547, Fine ToA: 66.3537368774414
Ground Truth ToA: 58.495391845703125, Coarse ToA: 54.8730583190918, Fine ToA: 103.1865005493164
Ground Truth ToA: 85.61334228515625, Coarse ToA: 85.27982330322266, Fine ToA: 85.27051544189453
Ground Truth ToA: 56.098731994628906, Coarse ToA: 62.248680114746094, Fine ToA: 62.849510192871094
Ground Truth ToA: 83.16505432128906, Coarse ToA: 81.54837799072266, Fine ToA: 83.34479522705078
Ground Truth ToA: 57.95343780517578, Coarse ToA: 62.40631866455078, Fine ToA: 60.26023483276367
Ground Truth ToA: 130.84457397460938, Coarse ToA: 129.51983642578125, Fine ToA: 128.4606170654297
Ground Truth ToA: 145.34095764160156, Coarse ToA: 144.73712158203125, Fine ToA: 144.15379333496094
Ground Truth ToA: 59.01664352416992, Coarse ToA: 56.83985137939453, Fine ToA: 99.91937255859375
Ground Truth ToA: 92.8892822265625, Coarse ToA: 88.85221862792969, Fine ToA: 72.75894165039062
Ground Truth ToA: 128.3668212890625, Coarse ToA: 123.43636322021484, Fine ToA: 125.6617202758789
Ground Truth ToA: 118.82164764404297, Coarse ToA: 118.97723388671875, Fine ToA: 120.70940399169922
Ground Truth ToA: 122.8194351196289, Coarse ToA: 122.68797302246094, Fine ToA: 124.81991577148438
Ground Truth ToA: 123.38875579833984, Coarse ToA: 121.15290069580078, Fine ToA: 120.13153076171875
Ground Truth ToA: 92.48539733886719, Coarse ToA: 94.78715515136719, Fine ToA: 92.72697448730469
Ground Truth ToA: 75.50879669189453, Coarse ToA: 73.19173431396484, Fine ToA: 73.03132629394531
Ground Truth ToA: 62.28860855102539, Coarse ToA: 58.56227111816406, Fine ToA: 58.58362579345703
Ground Truth ToA: 136.63653564453125, Coarse ToA: 141.97816467285156, Fine ToA: 141.49899291992188
Ground Truth ToA: 114.77576446533203, Coarse ToA: 113.27246856689453, Fine ToA: 113.24810791015625
Ground Truth ToA: 55.55064392089844, Coarse ToA: 56.64512634277344, Fine ToA: 65.13583374023438
Ground Truth ToA: 101.30675506591797, Coarse ToA: 100.10845947265625, Fine ToA: 85.22683715820312
Ground Truth ToA: 112.92131042480469, Coarse ToA: 113.99369812011719, Fine ToA: 112.12220001220703
Ground Truth ToA: 75.29629516601562, Coarse ToA: 77.17292785644531, Fine ToA: 74.63688659667969
Ground Truth ToA: 101.6738510131836, Coarse ToA: 102.79993438720703, Fine ToA: 60.84390640258789
Ground Truth ToA: 55.14490509033203, Coarse ToA: 54.59585189819336, Fine ToA: 55.11515808105469
Ground Truth ToA: 112.67152404785156, Coarse ToA: 112.54427337646484, Fine ToA: 125.31342315673828
Ground Truth ToA: 147.32911682128906, Coarse ToA: 147.69082641601562, Fine ToA: 146.37364196777344
Ground Truth ToA: 129.5430145263672, Coarse ToA: 129.45628356933594, Fine ToA: 128.2448272705078
Ground Truth ToA: 70.91632843017578, Coarse ToA: 67.82676696777344, Fine ToA: 69.03298950195312
Ground Truth ToA: 80.01422119140625, Coarse ToA: 75.44451904296875, Fine ToA: 77.77911376953125
Ground Truth ToA: 120.3135986328125, Coarse ToA: 118.63815307617188, Fine ToA: 118.2613525390625
Ground Truth ToA: 64.73217010498047, Coarse ToA: 70.6399154663086, Fine ToA: 66.75955200195312
Ground Truth ToA: 97.58757781982422, Coarse ToA: 95.12665557861328, Fine ToA: 96.73042297363281
Ground Truth ToA: 127.1246337890625, Coarse ToA: 124.99579620361328, Fine ToA: 127.62515258789062
Ground Truth ToA: 119.52165222167969, Coarse ToA: 120.17231750488281, Fine ToA: 120.0031967163086
Ground Truth ToA: 147.3235321044922, Coarse ToA: 146.95652770996094, Fine ToA: 145.4365997314453
Ground Truth ToA: 52.040382385253906, Coarse ToA: 52.31529235839844, Fine ToA: 52.27443313598633
Ground Truth ToA: 104.742919921875, Coarse ToA: 105.86103820800781, Fine ToA: 104.75869750976562
Ground Truth ToA: 133.63314819335938, Coarse ToA: 130.0880584716797, Fine ToA: 131.2421112060547
Ground Truth ToA: 81.59071350097656, Coarse ToA: 80.97820281982422, Fine ToA: 81.0483627319336
Ground Truth ToA: 103.2878646850586, Coarse ToA: 102.69258880615234, Fine ToA: 103.6364974975586
Ground Truth ToA: 130.26365661621094, Coarse ToA: 131.51022338867188, Fine ToA: 132.30514526367188
Ground Truth ToA: 55.075496673583984, Coarse ToA: 62.15541076660156, Fine ToA: 61.471160888671875
Ground Truth ToA: 84.69608306884766, Coarse ToA: 84.09410858154297, Fine ToA: 84.98844909667969
Ground Truth ToA: 121.53632354736328, Coarse ToA: 120.16514587402344, Fine ToA: 121.73223876953125
Ground Truth ToA: 100.38462829589844, Coarse ToA: 100.91570281982422, Fine ToA: 75.2427749633789
Ground Truth ToA: 141.83901977539062, Coarse ToA: 145.25477600097656, Fine ToA: 144.40689086914062
Ground Truth ToA: 62.92258834838867, Coarse ToA: 61.16103744506836, Fine ToA: 61.209171295166016
Ground Truth ToA: 90.12027740478516, Coarse ToA: 91.93885803222656, Fine ToA: 92.05831909179688
Ground Truth ToA: 82.15180969238281, Coarse ToA: 81.89067840576172, Fine ToA: 81.97940826416016
Ground Truth ToA: 80.83805847167969, Coarse ToA: 75.9137191772461, Fine ToA: 78.21981048583984
Ground Truth ToA: 87.55541229248047, Coarse ToA: 88.3718032836914, Fine ToA: 87.48474884033203
Ground Truth ToA: 56.808799743652344, Coarse ToA: 55.93430709838867, Fine ToA: 55.175907135009766
Ground Truth ToA: 123.6520767211914, Coarse ToA: 120.66768646240234, Fine ToA: 139.9544219970703
Ground Truth ToA: 63.31916427612305, Coarse ToA: 62.368385314941406, Fine ToA: 63.76416015625
Ground Truth ToA: 91.780517578125, Coarse ToA: 88.97710418701172, Fine ToA: 88.99799346923828
Ground Truth ToA: 138.40309143066406, Coarse ToA: 139.3490753173828, Fine ToA: 138.98880004882812
Ground Truth ToA: 113.72057342529297, Coarse ToA: 115.39909362792969, Fine ToA: 115.99773406982422
Ground Truth ToA: 103.6412582397461, Coarse ToA: 104.15565490722656, Fine ToA: 104.49457550048828
Ground Truth ToA: 85.06060791015625, Coarse ToA: 83.7114028930664, Fine ToA: 65.39529418945312
Ground Truth ToA: 92.10035705566406, Coarse ToA: 89.13419342041016, Fine ToA: 88.9197769165039
