Ground Truth ToA: 101.06251525878906, Coarse ToA: 96.30097198486328, Fine ToA: 112.64897155761719
Ground Truth ToA: 123.62371826171875, Coarse ToA: 129.71536254882812, Fine ToA: 49.566993713378906
Ground Truth ToA: 81.71451568603516, Coarse ToA: 81.57644653320312, Fine ToA: 80.46550750732422
Ground Truth ToA: 52.39932632446289, Coarse ToA: 54.823944091796875, Fine ToA: 53.54098129272461
Ground Truth ToA: 73.47394561767578, Coarse ToA: 69.7012939453125, Fine ToA: 147.16868591308594
Ground Truth ToA: 118.80447387695312, Coarse ToA: 116.96057891845703, Fine ToA: 117.44983673095703
Ground Truth ToA: 89.41332244873047, Coarse ToA: 86.38023376464844, Fine ToA: 133.7544403076172
Ground Truth ToA: 90.58983612060547, Coarse ToA: 90.41708374023438, Fine ToA: 92.11884307861328
Ground Truth ToA: 91.6020736694336, Coarse ToA: 90.66959381103516, Fine ToA: 90.34317779541016
Ground Truth ToA: 148.0888671875, Coarse ToA: 152.64944458007812, Fine ToA: 147.30886840820312
Ground Truth ToA: 136.12994384765625, Coarse ToA: 145.31015014648438, Fine ToA: 121.9729232788086
Ground Truth ToA: 96.29983520507812, Coarse ToA: 92.19597625732422, Fine ToA: 81.48606872558594
Ground Truth ToA: 57.30019760131836, Coarse ToA: 58.53066635131836, Fine ToA: 58.849609375
Ground Truth ToA: 54.096282958984375, Coarse ToA: 58.755733489990234, Fine ToA: 55.19161605834961
Ground Truth ToA: 72.19775390625, Coarse ToA: 70.84266662597656, Fine ToA: 70.70356750488281
Ground Truth ToA: 66.4388427734375, Coarse ToA: 61.84199523925781, Fine ToA: 95.8722915649414
Ground Truth ToA: 94.69879150390625, Coarse ToA: 90.98652648925781, Fine ToA: 92.66238403320312
Ground Truth ToA: 110.17494201660156, Coarse ToA: 102.99024963378906, Fine ToA: 129.95828247070312
Ground Truth ToA: 113.83021545410156, Coarse ToA: 111.00621795654297, Fine ToA: 113.00957489013672
Ground Truth ToA: 100.83250427246094, Coarse ToA: 100.94993591308594, Fine ToA: 100.96644592285156
Ground Truth ToA: 98.86320495605469, Coarse ToA: 101.64067840576172, Fine ToA: 97.8732681274414
Ground Truth ToA: 91.39971160888672, Coarse ToA: 91.54449462890625, Fine ToA: 90.97370147705078
Ground Truth ToA: 72.00177764892578, Coarse ToA: 75.11683654785156, Fine ToA: 72.74762725830078
Ground Truth ToA: 63.98647689819336, Coarse ToA: 65.81763458251953, Fine ToA: 65.3054428100586
Ground Truth ToA: 97.59669494628906, Coarse ToA: 100.40474700927734, Fine ToA: 118.1175308227539
Ground Truth ToA: 71.05670928955078, Coarse ToA: 70.34332275390625, Fine ToA: 71.52362823486328
Ground Truth ToA: 112.26502227783203, Coarse ToA: 116.05535888671875, Fine ToA: 114.1313247680664
Ground Truth ToA: 136.14520263671875, Coarse ToA: 138.1424102783203, Fine ToA: 113.12185668945312
Ground Truth ToA: 138.2623748779297, Coarse ToA: 141.22738647460938, Fine ToA: 138.66921997070312
Ground Truth ToA: 94.39568328857422, Coarse ToA: 98.19342803955078, Fine ToA: 80.85498046875
Ground Truth ToA: 71.47493743896484, Coarse ToA: 70.49996185302734, Fine ToA: 131.73939514160156
Ground Truth ToA: 136.9435272216797, Coarse ToA: 138.1002655029297, Fine ToA: 135.66990661621094
Ground Truth ToA: 118.49744415283203, Coarse ToA: 119.53175354003906, Fine ToA: 119.73994445800781
Ground Truth ToA: 70.34587860107422, Coarse ToA: 68.39828491210938, Fine ToA: 69.78719329833984
Ground Truth ToA: 146.17086791992188, Coarse ToA: 148.7415313720703, Fine ToA: 149.47369384765625
Ground Truth ToA: 98.562744140625, Coarse ToA: 95.90801239013672, Fine ToA: 96.34237670898438
Ground Truth ToA: 87.94245910644531, Coarse ToA: 87.45845794677734, Fine ToA: 88.84107208251953
Ground Truth ToA: 141.57884216308594, Coarse ToA: 132.6844482421875, Fine ToA: 79.50071716308594
Ground Truth ToA: 82.06349182128906, Coarse ToA: 79.53790283203125, Fine ToA: 80.43425750732422
Ground Truth ToA: 55.67593765258789, Coarse ToA: 52.27235412597656, Fine ToA: 54.190101623535156
Ground Truth ToA: 69.3509750366211, Coarse ToA: 67.05587768554688, Fine ToA: 53.62799835205078
Ground Truth ToA: 82.34834289550781, Coarse ToA: 78.59856414794922, Fine ToA: 109.2422866821289
Ground Truth ToA: 83.77289581298828, Coarse ToA: 82.1904296875, Fine ToA: 84.38499450683594
Ground Truth ToA: 132.461181640625, Coarse ToA: 132.86839294433594, Fine ToA: 131.9853973388672
Ground Truth ToA: 70.99098205566406, Coarse ToA: 70.2326431274414, Fine ToA: 70.30980682373047
Ground Truth ToA: 131.782470703125, Coarse ToA: 133.0723419189453, Fine ToA: 130.6739959716797
Ground Truth ToA: 80.74909973144531, Coarse ToA: 81.33377838134766, Fine ToA: 148.25570678710938
Ground Truth ToA: 79.93672943115234, Coarse ToA: 76.60902404785156, Fine ToA: 66.35202026367188
Ground Truth ToA: 82.55252838134766, Coarse ToA: 77.54674530029297, Fine ToA: 80.13162994384766
Ground Truth ToA: 129.3760223388672, Coarse ToA: 125.12217712402344, Fine ToA: 128.79974365234375
Ground Truth ToA: 94.77670288085938, Coarse ToA: 90.14730834960938, Fine ToA: 92.34805297851562
Ground Truth ToA: 50.7251091003418, Coarse ToA: 54.398799896240234, Fine ToA: 52.92390823364258
Ground Truth ToA: 85.8541488647461, Coarse ToA: 82.68312072753906, Fine ToA: 85.72283935546875
Ground Truth ToA: 77.9380111694336, Coarse ToA: 80.42942810058594, Fine ToA: 80.25639343261719
Ground Truth ToA: 100.05178833007812, Coarse ToA: 98.0487289428711, Fine ToA: 100.25879669189453
Ground Truth ToA: 67.1123046875, Coarse ToA: 68.79398345947266, Fine ToA: 67.41346740722656
Ground Truth ToA: 125.22259521484375, Coarse ToA: 121.52980041503906, Fine ToA: 124.73538970947266
Ground Truth ToA: 54.66737365722656, Coarse ToA: 55.20587921142578, Fine ToA: 54.417747497558594
Ground Truth ToA: 105.54922485351562, Coarse ToA: 108.73065185546875, Fine ToA: 105.72817993164062
Ground Truth ToA: 121.11022186279297, Coarse ToA: 121.37521362304688, Fine ToA: 62.0072021484375
Ground Truth ToA: 129.5861358642578, Coarse ToA: 130.9907989501953, Fine ToA: 130.7844696044922
Ground Truth ToA: 145.0696563720703, Coarse ToA: 146.3632354736328, Fine ToA: 146.75924682617188
Ground Truth ToA: 71.00837707519531, Coarse ToA: 71.20478820800781, Fine ToA: 72.2477035522461
Ground Truth ToA: 78.5229263305664, Coarse ToA: 78.52997589111328, Fine ToA: 108.99092102050781
Ground Truth ToA: 73.23532104492188, Coarse ToA: 75.14569854736328, Fine ToA: 73.52652740478516
Ground Truth ToA: 145.41087341308594, Coarse ToA: 145.7200164794922, Fine ToA: 146.15576171875
Ground Truth ToA: 80.01675415039062, Coarse ToA: 84.91831970214844, Fine ToA: 80.40911865234375
Ground Truth ToA: 59.432884216308594, Coarse ToA: 62.3140869140625, Fine ToA: 59.441043853759766
Ground Truth ToA: 61.834014892578125, Coarse ToA: 59.25075912475586, Fine ToA: 60.949432373046875
Ground Truth ToA: 110.20121002197266, Coarse ToA: 109.89607238769531, Fine ToA: 110.77522277832031
Ground Truth ToA: 111.66044616699219, Coarse ToA: 113.79225158691406, Fine ToA: 109.63880157470703
Ground Truth ToA: 88.98710632324219, Coarse ToA: 92.26256561279297, Fine ToA: 88.44007873535156
Ground Truth ToA: 69.08370971679688, Coarse ToA: 71.95353698730469, Fine ToA: 67.5452880859375
Ground Truth ToA: 127.2152099609375, Coarse ToA: 129.051025390625, Fine ToA: 127.14024353027344
Ground Truth ToA: 72.56342315673828, Coarse ToA: 72.76969909667969, Fine ToA: 72.77944946289062
Ground Truth ToA: 149.77882385253906, Coarse ToA: 144.83226013183594, Fine ToA: 125.2119369506836
Ground Truth ToA: 83.34614562988281, Coarse ToA: 88.74652862548828, Fine ToA: 82.32321166992188
Ground Truth ToA: 100.3204345703125, Coarse ToA: 101.14433288574219, Fine ToA: 103.47161865234375
Ground Truth ToA: 65.12924194335938, Coarse ToA: 70.2466812133789, Fine ToA: 69.20069885253906
Ground Truth ToA: 138.01173400878906, Coarse ToA: 136.3331298828125, Fine ToA: 137.818115234375
Ground Truth ToA: 139.9769287109375, Coarse ToA: 139.84400939941406, Fine ToA: 139.79331970214844
Ground Truth ToA: 98.35579681396484, Coarse ToA: 97.77699279785156, Fine ToA: 60.80583572387695
Ground Truth ToA: 147.40701293945312, Coarse ToA: 143.48756408691406, Fine ToA: 147.4541778564453
Ground Truth ToA: 105.9627456665039, Coarse ToA: 104.74175262451172, Fine ToA: 105.15235900878906
Ground Truth ToA: 130.56509399414062, Coarse ToA: 128.3711700439453, Fine ToA: 90.07598114013672
Ground Truth ToA: 88.87371063232422, Coarse ToA: 89.07548522949219, Fine ToA: 89.6391830444336
Ground Truth ToA: 144.1516876220703, Coarse ToA: 143.9315948486328, Fine ToA: 143.3930206298828
Ground Truth ToA: 60.72479248046875, Coarse ToA: 60.278446197509766, Fine ToA: 61.484336853027344
Ground Truth ToA: 116.28834533691406, Coarse ToA: 113.79007720947266, Fine ToA: 89.79779815673828
Ground Truth ToA: 137.94113159179688, Coarse ToA: 134.57351684570312, Fine ToA: 55.0177116394043
Ground Truth ToA: 86.86254119873047, Coarse ToA: 88.40717315673828, Fine ToA: 95.70673370361328
Ground Truth ToA: 76.11967468261719, Coarse ToA: 73.32562255859375, Fine ToA: 63.70618438720703
Ground Truth ToA: 124.32646942138672, Coarse ToA: 124.86370086669922, Fine ToA: 53.00617980957031
Ground Truth ToA: 114.92913055419922, Coarse ToA: 116.16870880126953, Fine ToA: 114.41053009033203
Ground Truth ToA: 101.74761199951172, Coarse ToA: 102.10358428955078, Fine ToA: 101.79080963134766
Ground Truth ToA: 69.75931549072266, Coarse ToA: 73.18476104736328, Fine ToA: 110.28717041015625
Ground Truth ToA: 72.72262573242188, Coarse ToA: 70.47582244873047, Fine ToA: 72.28813934326172
Ground Truth ToA: 65.18942260742188, Coarse ToA: 65.59712982177734, Fine ToA: 129.75009155273438
Ground Truth ToA: 125.58624267578125, Coarse ToA: 121.65831756591797, Fine ToA: 92.4360122680664
Ground Truth ToA: 54.45973205566406, Coarse ToA: 62.30674743652344, Fine ToA: 51.464561462402344
Ground Truth ToA: 140.80613708496094, Coarse ToA: 138.82876586914062, Fine ToA: 140.20278930664062
Ground Truth ToA: 146.9803009033203, Coarse ToA: 145.8358154296875, Fine ToA: 60.94473648071289
Ground Truth ToA: 124.05447387695312, Coarse ToA: 121.78815460205078, Fine ToA: 138.5836639404297
Ground Truth ToA: 141.80328369140625, Coarse ToA: 147.1313934326172, Fine ToA: 145.55406188964844
Ground Truth ToA: 126.2805404663086, Coarse ToA: 128.7675323486328, Fine ToA: 126.25267028808594
Ground Truth ToA: 134.78717041015625, Coarse ToA: 135.08187866210938, Fine ToA: 134.31878662109375
Ground Truth ToA: 126.613525390625, Coarse ToA: 136.29681396484375, Fine ToA: 128.14393615722656
Ground Truth ToA: 56.466800689697266, Coarse ToA: 55.16840744018555, Fine ToA: 56.783416748046875
Ground Truth ToA: 117.79212188720703, Coarse ToA: 116.76687622070312, Fine ToA: 117.08343505859375
Ground Truth ToA: 59.72598648071289, Coarse ToA: 58.559261322021484, Fine ToA: 60.40631103515625
Ground Truth ToA: 135.6748809814453, Coarse ToA: 135.00071716308594, Fine ToA: 134.98394775390625
Ground Truth ToA: 136.92210388183594, Coarse ToA: 135.9818115234375, Fine ToA: 137.3436737060547
Ground Truth ToA: 148.6735076904297, Coarse ToA: 146.66159057617188, Fine ToA: 122.96463012695312
Ground Truth ToA: 55.55033874511719, Coarse ToA: 57.98725891113281, Fine ToA: 55.55317687988281
Ground Truth ToA: 104.79618072509766, Coarse ToA: 107.2054214477539, Fine ToA: 103.86384582519531
Ground Truth ToA: 109.0732192993164, Coarse ToA: 106.62654876708984, Fine ToA: 108.51811981201172
Ground Truth ToA: 59.287353515625, Coarse ToA: 61.76813888549805, Fine ToA: 121.3830337524414
Ground Truth ToA: 80.26131439208984, Coarse ToA: 83.52836608886719, Fine ToA: 118.06712341308594
Ground Truth ToA: 94.82119750976562, Coarse ToA: 93.89458465576172, Fine ToA: 94.68611145019531
Ground Truth ToA: 139.9509735107422, Coarse ToA: 143.1454620361328, Fine ToA: 141.42198181152344
Ground Truth ToA: 148.57386779785156, Coarse ToA: 148.02503967285156, Fine ToA: 130.9972381591797
Ground Truth ToA: 72.26187896728516, Coarse ToA: 72.43846893310547, Fine ToA: 72.09803771972656
Ground Truth ToA: 113.71186065673828, Coarse ToA: 113.02711486816406, Fine ToA: 112.94657135009766
Ground Truth ToA: 64.69270324707031, Coarse ToA: 65.67655944824219, Fine ToA: 64.91612243652344
Ground Truth ToA: 110.95225524902344, Coarse ToA: 110.01422882080078, Fine ToA: 111.42670440673828
Ground Truth ToA: 58.79213333129883, Coarse ToA: 60.9585075378418, Fine ToA: 58.77056884765625
Ground Truth ToA: 139.8357391357422, Coarse ToA: 138.88331604003906, Fine ToA: 62.047367095947266
Ground Truth ToA: 136.55198669433594, Coarse ToA: 135.5265350341797, Fine ToA: 136.9815216064453
Ground Truth ToA: 123.62787628173828, Coarse ToA: 119.40269470214844, Fine ToA: 64.30806732177734
Ground Truth ToA: 126.45641326904297, Coarse ToA: 127.87785339355469, Fine ToA: 126.40957641601562
Ground Truth ToA: 89.90718078613281, Coarse ToA: 86.92578125, Fine ToA: 89.07719421386719
Ground Truth ToA: 59.236961364746094, Coarse ToA: 58.521785736083984, Fine ToA: 58.02085494995117
Ground Truth ToA: 116.43708038330078, Coarse ToA: 115.03195190429688, Fine ToA: 116.89961242675781
Ground Truth ToA: 76.67168426513672, Coarse ToA: 77.91929626464844, Fine ToA: 76.09242248535156
Ground Truth ToA: 69.76502227783203, Coarse ToA: 69.1484146118164, Fine ToA: 69.54481506347656
Ground Truth ToA: 117.36830139160156, Coarse ToA: 116.28069305419922, Fine ToA: 117.14674377441406
Ground Truth ToA: 86.2340087890625, Coarse ToA: 87.16160583496094, Fine ToA: 98.9481430053711
Ground Truth ToA: 68.37905883789062, Coarse ToA: 67.95482635498047, Fine ToA: 68.69117736816406
Ground Truth ToA: 136.18731689453125, Coarse ToA: 136.17068481445312, Fine ToA: 90.80464935302734
Ground Truth ToA: 133.51365661621094, Coarse ToA: 136.30828857421875, Fine ToA: 60.59623718261719
Ground Truth ToA: 135.36727905273438, Coarse ToA: 137.8828582763672, Fine ToA: 133.87246704101562
Ground Truth ToA: 89.78783416748047, Coarse ToA: 89.07958984375, Fine ToA: 89.70469665527344
Ground Truth ToA: 83.99629974365234, Coarse ToA: 79.72928619384766, Fine ToA: 82.71027374267578
Ground Truth ToA: 110.16051483154297, Coarse ToA: 109.38916778564453, Fine ToA: 110.58056640625
Ground Truth ToA: 73.15310668945312, Coarse ToA: 73.23353576660156, Fine ToA: 72.73800659179688
Ground Truth ToA: 122.44004821777344, Coarse ToA: 120.36133575439453, Fine ToA: 121.05656433105469
Ground Truth ToA: 136.85052490234375, Coarse ToA: 143.0482177734375, Fine ToA: 136.74046325683594
Ground Truth ToA: 126.80569458007812, Coarse ToA: 131.6730194091797, Fine ToA: 131.4624786376953
Ground Truth ToA: 95.4780044555664, Coarse ToA: 96.22848510742188, Fine ToA: 94.83153533935547
Ground Truth ToA: 109.12541961669922, Coarse ToA: 108.63970184326172, Fine ToA: 126.66497039794922
Ground Truth ToA: 101.00209045410156, Coarse ToA: 102.66490936279297, Fine ToA: 100.8829574584961
Ground Truth ToA: 64.15364074707031, Coarse ToA: 61.55406951904297, Fine ToA: 63.22447967529297
Ground Truth ToA: 99.3084716796875, Coarse ToA: 100.25269317626953, Fine ToA: 99.52088165283203
Ground Truth ToA: 96.51054382324219, Coarse ToA: 95.99028015136719, Fine ToA: 96.39358520507812
Ground Truth ToA: 140.39378356933594, Coarse ToA: 141.57623291015625, Fine ToA: 138.83865356445312
Ground Truth ToA: 82.4775390625, Coarse ToA: 79.94113159179688, Fine ToA: 61.48604965209961
Ground Truth ToA: 60.55049133300781, Coarse ToA: 61.629005432128906, Fine ToA: 68.36512756347656
Ground Truth ToA: 109.81163787841797, Coarse ToA: 117.44109344482422, Fine ToA: 110.15877532958984
Ground Truth ToA: 90.32470703125, Coarse ToA: 87.75538635253906, Fine ToA: 90.23853302001953
Ground Truth ToA: 76.36652374267578, Coarse ToA: 77.55699920654297, Fine ToA: 78.18559265136719
Ground Truth ToA: 93.6155776977539, Coarse ToA: 89.13819885253906, Fine ToA: 92.43143463134766
Ground Truth ToA: 123.19120025634766, Coarse ToA: 123.7175521850586, Fine ToA: 94.95437622070312
Ground Truth ToA: 70.97793579101562, Coarse ToA: 68.58193969726562, Fine ToA: 72.14830780029297
Ground Truth ToA: 110.32411193847656, Coarse ToA: 111.45433044433594, Fine ToA: 111.53913879394531
Ground Truth ToA: 139.24868774414062, Coarse ToA: 138.51072692871094, Fine ToA: 137.54818725585938
Ground Truth ToA: 72.57064056396484, Coarse ToA: 71.83243560791016, Fine ToA: 50.893218994140625
Ground Truth ToA: 80.13253021240234, Coarse ToA: 81.40120697021484, Fine ToA: 79.90789794921875
Ground Truth ToA: 99.21405029296875, Coarse ToA: 104.62657928466797, Fine ToA: 98.85005950927734
Ground Truth ToA: 81.7767105102539, Coarse ToA: 80.17974853515625, Fine ToA: 80.31946563720703
Ground Truth ToA: 107.81477355957031, Coarse ToA: 107.32339477539062, Fine ToA: 75.47134399414062
Ground Truth ToA: 145.35040283203125, Coarse ToA: 146.04527282714844, Fine ToA: 145.0786590576172
Ground Truth ToA: 139.08348083496094, Coarse ToA: 136.8265838623047, Fine ToA: 148.42393493652344
Ground Truth ToA: 88.28838348388672, Coarse ToA: 88.53990173339844, Fine ToA: 88.92701721191406
Ground Truth ToA: 145.28192138671875, Coarse ToA: 147.25144958496094, Fine ToA: 143.86741638183594
Ground Truth ToA: 98.60645294189453, Coarse ToA: 98.80581665039062, Fine ToA: 98.7681655883789
Ground Truth ToA: 102.34015655517578, Coarse ToA: 103.81487274169922, Fine ToA: 101.77869415283203
Ground Truth ToA: 82.76828002929688, Coarse ToA: 82.46589660644531, Fine ToA: 82.7706069946289
Ground Truth ToA: 145.9271697998047, Coarse ToA: 148.15606689453125, Fine ToA: 146.2571563720703
Ground Truth ToA: 73.88294982910156, Coarse ToA: 77.1668701171875, Fine ToA: 75.32078552246094
Ground Truth ToA: 134.9755096435547, Coarse ToA: 135.50868225097656, Fine ToA: 134.9986114501953
Ground Truth ToA: 59.83857345581055, Coarse ToA: 58.725406646728516, Fine ToA: 59.40656280517578
Ground Truth ToA: 91.02548217773438, Coarse ToA: 88.91609954833984, Fine ToA: 90.33893585205078
Ground Truth ToA: 87.00347137451172, Coarse ToA: 88.7615966796875, Fine ToA: 87.74217987060547
Ground Truth ToA: 107.64808654785156, Coarse ToA: 107.4323501586914, Fine ToA: 106.7119369506836
Ground Truth ToA: 72.04145812988281, Coarse ToA: 73.08243560791016, Fine ToA: 72.5959701538086
Ground Truth ToA: 97.82889556884766, Coarse ToA: 97.49793243408203, Fine ToA: 96.38094329833984
Ground Truth ToA: 78.00000762939453, Coarse ToA: 76.47237396240234, Fine ToA: 78.01395416259766
Ground Truth ToA: 110.33277130126953, Coarse ToA: 111.28836059570312, Fine ToA: 93.61234283447266
Ground Truth ToA: 83.03176879882812, Coarse ToA: 83.12580871582031, Fine ToA: 83.30060577392578
Ground Truth ToA: 113.24478149414062, Coarse ToA: 112.71463012695312, Fine ToA: 113.3617935180664
Ground Truth ToA: 126.81587982177734, Coarse ToA: 127.16452026367188, Fine ToA: 125.53221130371094
Ground Truth ToA: 50.92543411254883, Coarse ToA: 54.63624572753906, Fine ToA: 52.067447662353516
Ground Truth ToA: 116.62574005126953, Coarse ToA: 115.20958709716797, Fine ToA: 115.92893981933594
Ground Truth ToA: 123.40357971191406, Coarse ToA: 127.3227767944336, Fine ToA: 124.2362060546875
Ground Truth ToA: 112.10584259033203, Coarse ToA: 111.70704650878906, Fine ToA: 112.06185913085938
Ground Truth ToA: 72.18711853027344, Coarse ToA: 72.33753967285156, Fine ToA: 72.2656021118164
Ground Truth ToA: 104.17880249023438, Coarse ToA: 104.18924713134766, Fine ToA: 105.0920639038086
Ground Truth ToA: 106.51982879638672, Coarse ToA: 104.70048522949219, Fine ToA: 80.47164154052734
Ground Truth ToA: 131.7684326171875, Coarse ToA: 132.3449249267578, Fine ToA: 131.269775390625
Ground Truth ToA: 124.84745025634766, Coarse ToA: 123.8869857788086, Fine ToA: 124.49528503417969
Ground Truth ToA: 50.07453155517578, Coarse ToA: 50.26547622680664, Fine ToA: 130.725830078125
Ground Truth ToA: 142.20608520507812, Coarse ToA: 145.1273651123047, Fine ToA: 141.36911010742188
Ground Truth ToA: 86.17658233642578, Coarse ToA: 88.93400573730469, Fine ToA: 86.18746948242188
Ground Truth ToA: 139.1819610595703, Coarse ToA: 137.7770538330078, Fine ToA: 139.1797332763672
Ground Truth ToA: 88.82708740234375, Coarse ToA: 89.89144897460938, Fine ToA: 88.78050994873047
Ground Truth ToA: 56.616127014160156, Coarse ToA: 60.24114990234375, Fine ToA: 55.372859954833984
Ground Truth ToA: 133.63162231445312, Coarse ToA: 136.00938415527344, Fine ToA: 135.24688720703125
Ground Truth ToA: 79.81290435791016, Coarse ToA: 79.11680603027344, Fine ToA: 79.37751770019531
Ground Truth ToA: 64.86467742919922, Coarse ToA: 64.23014831542969, Fine ToA: 64.27238464355469
Ground Truth ToA: 74.75499725341797, Coarse ToA: 75.31815338134766, Fine ToA: 75.61653137207031
Ground Truth ToA: 66.11473846435547, Coarse ToA: 66.1375961303711, Fine ToA: 66.2654800415039
Ground Truth ToA: 116.15125274658203, Coarse ToA: 118.07125854492188, Fine ToA: 97.57936096191406
Ground Truth ToA: 74.73851013183594, Coarse ToA: 74.10319519042969, Fine ToA: 74.3922119140625
Ground Truth ToA: 132.07492065429688, Coarse ToA: 131.41482543945312, Fine ToA: 132.2665557861328
Ground Truth ToA: 137.4508514404297, Coarse ToA: 137.61831665039062, Fine ToA: 137.08248901367188
Ground Truth ToA: 78.58821105957031, Coarse ToA: 80.06462860107422, Fine ToA: 78.86419677734375
Ground Truth ToA: 115.39517211914062, Coarse ToA: 113.4383316040039, Fine ToA: 115.23199462890625
Ground Truth ToA: 129.86123657226562, Coarse ToA: 129.58021545410156, Fine ToA: 129.55459594726562
Ground Truth ToA: 84.8209457397461, Coarse ToA: 81.72693634033203, Fine ToA: 83.36685180664062
Ground Truth ToA: 80.44879913330078, Coarse ToA: 79.61276245117188, Fine ToA: 79.94754028320312
Ground Truth ToA: 117.40572357177734, Coarse ToA: 115.59307098388672, Fine ToA: 117.17518615722656
Ground Truth ToA: 90.35822296142578, Coarse ToA: 96.41712951660156, Fine ToA: 92.35599517822266
Ground Truth ToA: 141.10629272460938, Coarse ToA: 138.97494506835938, Fine ToA: 141.37045288085938
Ground Truth ToA: 96.81769561767578, Coarse ToA: 96.45885467529297, Fine ToA: 104.85784912109375
Ground Truth ToA: 77.35201263427734, Coarse ToA: 75.55973815917969, Fine ToA: 76.57389831542969
Ground Truth ToA: 108.91167449951172, Coarse ToA: 111.26122283935547, Fine ToA: 108.65055084228516
Ground Truth ToA: 139.9787139892578, Coarse ToA: 139.12860107421875, Fine ToA: 139.56106567382812
Ground Truth ToA: 119.61991119384766, Coarse ToA: 118.33485412597656, Fine ToA: 119.20597839355469
Ground Truth ToA: 112.93327331542969, Coarse ToA: 111.31028747558594, Fine ToA: 112.96675109863281
Ground Truth ToA: 119.17367553710938, Coarse ToA: 119.2818374633789, Fine ToA: 103.1444320678711
Ground Truth ToA: 88.13581085205078, Coarse ToA: 86.59877014160156, Fine ToA: 57.97498321533203
Ground Truth ToA: 70.48184967041016, Coarse ToA: 68.62846374511719, Fine ToA: 70.35719299316406
Ground Truth ToA: 139.61669921875, Coarse ToA: 141.09811401367188, Fine ToA: 139.66993713378906
Ground Truth ToA: 99.64729309082031, Coarse ToA: 102.83641052246094, Fine ToA: 98.42915344238281
Ground Truth ToA: 91.35933685302734, Coarse ToA: 90.5572280883789, Fine ToA: 75.14692687988281
Ground Truth ToA: 105.76298522949219, Coarse ToA: 105.61982727050781, Fine ToA: 105.62325286865234
Ground Truth ToA: 99.52375030517578, Coarse ToA: 98.56333923339844, Fine ToA: 99.0262451171875
Ground Truth ToA: 97.32904815673828, Coarse ToA: 98.05632019042969, Fine ToA: 97.48233795166016
Ground Truth ToA: 94.20587921142578, Coarse ToA: 92.90045166015625, Fine ToA: 93.60797119140625
