Ground Truth ToA: 80.60552215576172, Coarse ToA: 85.60662841796875, Fine ToA: 141.463134765625
Ground Truth ToA: 100.76185607910156, Coarse ToA: 97.91272735595703, Fine ToA: 98.97740936279297
Ground Truth ToA: 87.22894287109375, Coarse ToA: 90.44685363769531, Fine ToA: 87.5256576538086
Ground Truth ToA: 125.41743469238281, Coarse ToA: 130.02130126953125, Fine ToA: 127.08270263671875
Ground Truth ToA: 51.52488708496094, Coarse ToA: 62.45531463623047, Fine ToA: 51.172847747802734
Ground Truth ToA: 135.53025817871094, Coarse ToA: 137.73883056640625, Fine ToA: 135.69085693359375
Ground Truth ToA: 82.23283386230469, Coarse ToA: 75.40597534179688, Fine ToA: 100.24335479736328
Ground Truth ToA: 134.1712188720703, Coarse ToA: 131.0426025390625, Fine ToA: 103.5814208984375
Ground Truth ToA: 133.0265350341797, Coarse ToA: 132.07867431640625, Fine ToA: 120.44402313232422
Ground Truth ToA: 100.06380462646484, Coarse ToA: 97.47770690917969, Fine ToA: 131.29403686523438
Ground Truth ToA: 53.27993392944336, Coarse ToA: 52.34477615356445, Fine ToA: 95.01741027832031
Ground Truth ToA: 89.2101821899414, Coarse ToA: 89.39842224121094, Fine ToA: 89.45050048828125
Ground Truth ToA: 102.44245147705078, Coarse ToA: 99.5588150024414, Fine ToA: 84.54586029052734
Ground Truth ToA: 111.1196060180664, Coarse ToA: 105.09671020507812, Fine ToA: 144.06103515625
Ground Truth ToA: 99.75912475585938, Coarse ToA: 97.9774398803711, Fine ToA: 99.49503326416016
Ground Truth ToA: 62.08306884765625, Coarse ToA: 66.11660766601562, Fine ToA: 61.166873931884766
Ground Truth ToA: 94.29170227050781, Coarse ToA: 100.2756576538086, Fine ToA: 94.80731964111328
Ground Truth ToA: 84.069580078125, Coarse ToA: 85.89694213867188, Fine ToA: 86.64036560058594
Ground Truth ToA: 148.7487030029297, Coarse ToA: 148.3705596923828, Fine ToA: 148.7795867919922
Ground Truth ToA: 62.098506927490234, Coarse ToA: 61.94362258911133, Fine ToA: 62.59394454956055
Ground Truth ToA: 61.86077880859375, Coarse ToA: 64.62906646728516, Fine ToA: 61.258487701416016
Ground Truth ToA: 81.14283752441406, Coarse ToA: 86.00432586669922, Fine ToA: 80.95211791992188
Ground Truth ToA: 82.38389587402344, Coarse ToA: 79.993896484375, Fine ToA: 81.2854995727539
Ground Truth ToA: 144.25564575195312, Coarse ToA: 146.95169067382812, Fine ToA: 118.9603042602539
Ground Truth ToA: 96.44044494628906, Coarse ToA: 98.17745208740234, Fine ToA: 123.77922058105469
Ground Truth ToA: 121.23841094970703, Coarse ToA: 117.78279113769531, Fine ToA: 120.54638671875
Ground Truth ToA: 59.66987228393555, Coarse ToA: 58.029624938964844, Fine ToA: 58.82038497924805
Ground Truth ToA: 56.21091079711914, Coarse ToA: 55.97908401489258, Fine ToA: 54.9098014831543
Ground Truth ToA: 83.77946472167969, Coarse ToA: 83.04370880126953, Fine ToA: 83.14165496826172
Ground Truth ToA: 113.4316177368164, Coarse ToA: 112.87150573730469, Fine ToA: 58.71574401855469
Ground Truth ToA: 135.39801025390625, Coarse ToA: 131.00222778320312, Fine ToA: 133.90899658203125
Ground Truth ToA: 79.71125793457031, Coarse ToA: 76.59881591796875, Fine ToA: 78.83824157714844
Ground Truth ToA: 61.57067108154297, Coarse ToA: 58.55367660522461, Fine ToA: 109.12353515625
Ground Truth ToA: 105.43346405029297, Coarse ToA: 105.9967269897461, Fine ToA: 104.90606689453125
Ground Truth ToA: 108.56169891357422, Coarse ToA: 103.66416931152344, Fine ToA: 142.2965087890625
Ground Truth ToA: 134.14053344726562, Coarse ToA: 136.7412567138672, Fine ToA: 133.5289764404297
Ground Truth ToA: 106.01058959960938, Coarse ToA: 103.129150390625, Fine ToA: 104.70861053466797
Ground Truth ToA: 76.8236083984375, Coarse ToA: 76.10994720458984, Fine ToA: 149.18370056152344
Ground Truth ToA: 135.77792358398438, Coarse ToA: 139.37640380859375, Fine ToA: 74.80007934570312
Ground Truth ToA: 55.8999137878418, Coarse ToA: 56.88301467895508, Fine ToA: 131.2820281982422
Ground Truth ToA: 148.8858642578125, Coarse ToA: 145.90892028808594, Fine ToA: 147.78456115722656
Ground Truth ToA: 65.27383422851562, Coarse ToA: 64.30354309082031, Fine ToA: 65.40885162353516
Ground Truth ToA: 92.1526107788086, Coarse ToA: 88.32432556152344, Fine ToA: 90.9335708618164
Ground Truth ToA: 134.47152709960938, Coarse ToA: 132.28126525878906, Fine ToA: 136.66868591308594
Ground Truth ToA: 95.16028594970703, Coarse ToA: 92.8687744140625, Fine ToA: 145.01341247558594
Ground Truth ToA: 125.42194366455078, Coarse ToA: 128.8128662109375, Fine ToA: 124.32160186767578
Ground Truth ToA: 71.322021484375, Coarse ToA: 73.09722137451172, Fine ToA: 72.25569915771484
Ground Truth ToA: 52.34885025024414, Coarse ToA: 50.2435302734375, Fine ToA: 90.85962677001953
Ground Truth ToA: 74.78595733642578, Coarse ToA: 77.27603149414062, Fine ToA: 75.70149230957031
Ground Truth ToA: 129.76856994628906, Coarse ToA: 128.6338653564453, Fine ToA: 128.69667053222656
Ground Truth ToA: 66.48516082763672, Coarse ToA: 64.10595703125, Fine ToA: 65.9148178100586
Ground Truth ToA: 98.4349136352539, Coarse ToA: 94.41541290283203, Fine ToA: 97.71488952636719
Ground Truth ToA: 140.737548828125, Coarse ToA: 142.87911987304688, Fine ToA: 140.61636352539062
Ground Truth ToA: 127.5477523803711, Coarse ToA: 134.822265625, Fine ToA: 130.73858642578125
Ground Truth ToA: 77.57098388671875, Coarse ToA: 73.78028106689453, Fine ToA: 98.5771255493164
Ground Truth ToA: 134.51321411132812, Coarse ToA: 135.37112426757812, Fine ToA: 133.662353515625
Ground Truth ToA: 67.57896423339844, Coarse ToA: 71.9207534790039, Fine ToA: 69.9354019165039
Ground Truth ToA: 121.03175354003906, Coarse ToA: 123.38835906982422, Fine ToA: 121.02210998535156
Ground Truth ToA: 70.425537109375, Coarse ToA: 74.7081069946289, Fine ToA: 136.53573608398438
Ground Truth ToA: 94.05411529541016, Coarse ToA: 93.02322387695312, Fine ToA: 92.81079864501953
Ground Truth ToA: 69.01398468017578, Coarse ToA: 68.12764739990234, Fine ToA: 114.6285171508789
Ground Truth ToA: 62.13496398925781, Coarse ToA: 60.06951141357422, Fine ToA: 143.73194885253906
Ground Truth ToA: 73.69145965576172, Coarse ToA: 77.69557189941406, Fine ToA: 73.73202514648438
Ground Truth ToA: 52.657798767089844, Coarse ToA: 53.57371520996094, Fine ToA: 103.34075927734375
Ground Truth ToA: 149.37692260742188, Coarse ToA: 144.63650512695312, Fine ToA: 147.83786010742188
Ground Truth ToA: 102.2157974243164, Coarse ToA: 106.97483825683594, Fine ToA: 101.12928009033203
Ground Truth ToA: 77.32135009765625, Coarse ToA: 76.4181900024414, Fine ToA: 77.39688110351562
Ground Truth ToA: 89.3816146850586, Coarse ToA: 89.58415985107422, Fine ToA: 88.05564880371094
Ground Truth ToA: 103.7525405883789, Coarse ToA: 106.95447540283203, Fine ToA: 102.71288299560547
Ground Truth ToA: 78.64149475097656, Coarse ToA: 78.42866516113281, Fine ToA: 79.01355743408203
Ground Truth ToA: 80.9009017944336, Coarse ToA: 80.4876937866211, Fine ToA: 79.94021606445312
Ground Truth ToA: 83.52920532226562, Coarse ToA: 81.2260513305664, Fine ToA: 138.93605041503906
Ground Truth ToA: 121.24576568603516, Coarse ToA: 121.26065063476562, Fine ToA: 64.83992004394531
Ground Truth ToA: 63.881343841552734, Coarse ToA: 60.605857849121094, Fine ToA: 63.60796356201172
Ground Truth ToA: 109.203857421875, Coarse ToA: 108.40492248535156, Fine ToA: 110.42665100097656
Ground Truth ToA: 65.9400634765625, Coarse ToA: 63.392333984375, Fine ToA: 65.64148712158203
Ground Truth ToA: 106.10901641845703, Coarse ToA: 106.08432006835938, Fine ToA: 106.83497619628906
Ground Truth ToA: 148.26809692382812, Coarse ToA: 147.38560485839844, Fine ToA: 147.97286987304688
Ground Truth ToA: 99.11040496826172, Coarse ToA: 100.13688659667969, Fine ToA: 99.4986572265625
Ground Truth ToA: 145.046630859375, Coarse ToA: 142.6677703857422, Fine ToA: 143.0376434326172
Ground Truth ToA: 106.62962341308594, Coarse ToA: 106.40404510498047, Fine ToA: 106.3308334350586
Ground Truth ToA: 95.4531021118164, Coarse ToA: 97.15946960449219, Fine ToA: 94.52937316894531
Ground Truth ToA: 98.13325500488281, Coarse ToA: 103.43286895751953, Fine ToA: 100.18611907958984
Ground Truth ToA: 138.15066528320312, Coarse ToA: 138.92874145507812, Fine ToA: 138.40655517578125
Ground Truth ToA: 117.75601959228516, Coarse ToA: 124.31871032714844, Fine ToA: 117.42548370361328
Ground Truth ToA: 117.26620483398438, Coarse ToA: 115.06828308105469, Fine ToA: 85.46170806884766
Ground Truth ToA: 96.22234344482422, Coarse ToA: 98.23545837402344, Fine ToA: 96.4673843383789
Ground Truth ToA: 100.5230484008789, Coarse ToA: 101.34403991699219, Fine ToA: 68.68099212646484
Ground Truth ToA: 112.6050033569336, Coarse ToA: 112.80526733398438, Fine ToA: 113.03856658935547
Ground Truth ToA: 93.38729095458984, Coarse ToA: 92.34474182128906, Fine ToA: 93.21092987060547
Ground Truth ToA: 102.45226287841797, Coarse ToA: 102.68098449707031, Fine ToA: 101.521240234375
Ground Truth ToA: 146.10281372070312, Coarse ToA: 144.66908264160156, Fine ToA: 145.15480041503906
Ground Truth ToA: 92.65988159179688, Coarse ToA: 90.6539306640625, Fine ToA: 92.7789535522461
Ground Truth ToA: 96.8987045288086, Coarse ToA: 96.5931167602539, Fine ToA: 101.77778625488281
Ground Truth ToA: 60.375850677490234, Coarse ToA: 61.89340591430664, Fine ToA: 59.01101303100586
Ground Truth ToA: 118.47025299072266, Coarse ToA: 122.2262191772461, Fine ToA: 119.1623764038086
Ground Truth ToA: 141.58737182617188, Coarse ToA: 139.61756896972656, Fine ToA: 147.86859130859375
Ground Truth ToA: 58.90792465209961, Coarse ToA: 57.52326202392578, Fine ToA: 57.598934173583984
Ground Truth ToA: 144.19161987304688, Coarse ToA: 144.3857879638672, Fine ToA: 144.65089416503906
Ground Truth ToA: 109.93232727050781, Coarse ToA: 110.24728393554688, Fine ToA: 109.50186157226562
Ground Truth ToA: 145.89210510253906, Coarse ToA: 147.69381713867188, Fine ToA: 146.22471618652344
Ground Truth ToA: 65.12759399414062, Coarse ToA: 65.0928955078125, Fine ToA: 64.63298797607422
Ground Truth ToA: 92.80332946777344, Coarse ToA: 90.80786895751953, Fine ToA: 99.59530639648438
Ground Truth ToA: 131.3184051513672, Coarse ToA: 131.08428955078125, Fine ToA: 56.94993209838867
Ground Truth ToA: 137.1727294921875, Coarse ToA: 136.02427673339844, Fine ToA: 138.7853240966797
Ground Truth ToA: 86.7851791381836, Coarse ToA: 83.77740478515625, Fine ToA: 85.99234771728516
Ground Truth ToA: 65.2657470703125, Coarse ToA: 64.66781616210938, Fine ToA: 65.10392761230469
Ground Truth ToA: 81.27867889404297, Coarse ToA: 82.33285522460938, Fine ToA: 81.70138549804688
Ground Truth ToA: 73.98464965820312, Coarse ToA: 72.5710220336914, Fine ToA: 73.27849578857422
Ground Truth ToA: 67.986083984375, Coarse ToA: 72.2525634765625, Fine ToA: 69.09201049804688
Ground Truth ToA: 148.5516815185547, Coarse ToA: 147.571044921875, Fine ToA: 147.37197875976562
Ground Truth ToA: 127.0800552368164, Coarse ToA: 127.5106430053711, Fine ToA: 126.44123077392578
Ground Truth ToA: 77.33531188964844, Coarse ToA: 74.64486694335938, Fine ToA: 76.98820495605469
Ground Truth ToA: 70.51544189453125, Coarse ToA: 69.71558380126953, Fine ToA: 101.296630859375
Ground Truth ToA: 149.53712463378906, Coarse ToA: 148.35629272460938, Fine ToA: 149.4488067626953
Ground Truth ToA: 72.58594512939453, Coarse ToA: 69.98188781738281, Fine ToA: 84.93879699707031
Ground Truth ToA: 127.38823699951172, Coarse ToA: 124.9482192993164, Fine ToA: 126.1051025390625
Ground Truth ToA: 105.35017395019531, Coarse ToA: 107.57730865478516, Fine ToA: 68.46160125732422
Ground Truth ToA: 126.6917953491211, Coarse ToA: 125.09095764160156, Fine ToA: 127.1597900390625
Ground Truth ToA: 132.81039428710938, Coarse ToA: 129.31683349609375, Fine ToA: 132.34425354003906
Ground Truth ToA: 95.119384765625, Coarse ToA: 96.77960205078125, Fine ToA: 94.98733520507812
Ground Truth ToA: 130.8380126953125, Coarse ToA: 130.49844360351562, Fine ToA: 130.42054748535156
Ground Truth ToA: 131.23617553710938, Coarse ToA: 132.140625, Fine ToA: 131.2356719970703
Ground Truth ToA: 133.96177673339844, Coarse ToA: 135.9847869873047, Fine ToA: 135.25686645507812
Ground Truth ToA: 134.9986114501953, Coarse ToA: 129.6237335205078, Fine ToA: 134.83657836914062
Ground Truth ToA: 89.45221710205078, Coarse ToA: 91.4580078125, Fine ToA: 89.54936981201172
Ground Truth ToA: 141.80767822265625, Coarse ToA: 140.00131225585938, Fine ToA: 140.66336059570312
Ground Truth ToA: 123.5196762084961, Coarse ToA: 123.17138671875, Fine ToA: 125.01387023925781
Ground Truth ToA: 109.15070343017578, Coarse ToA: 107.08430480957031, Fine ToA: 81.20026397705078
Ground Truth ToA: 71.81744384765625, Coarse ToA: 71.89720153808594, Fine ToA: 72.65953063964844
Ground Truth ToA: 85.86532592773438, Coarse ToA: 89.5361557006836, Fine ToA: 85.40213775634766
Ground Truth ToA: 52.65845489501953, Coarse ToA: 49.68455123901367, Fine ToA: 78.31895446777344
Ground Truth ToA: 72.14741516113281, Coarse ToA: 75.08219146728516, Fine ToA: 72.89286041259766
Ground Truth ToA: 77.74813079833984, Coarse ToA: 74.2627182006836, Fine ToA: 116.04834747314453
Ground Truth ToA: 126.8934326171875, Coarse ToA: 126.78720092773438, Fine ToA: 126.92007446289062
Ground Truth ToA: 143.6404571533203, Coarse ToA: 143.5364227294922, Fine ToA: 86.88909912109375
Ground Truth ToA: 98.74516296386719, Coarse ToA: 97.46699523925781, Fine ToA: 50.57231521606445
Ground Truth ToA: 143.5514373779297, Coarse ToA: 143.39297485351562, Fine ToA: 143.0279998779297
Ground Truth ToA: 98.869140625, Coarse ToA: 98.19424438476562, Fine ToA: 99.50180053710938
Ground Truth ToA: 74.64789581298828, Coarse ToA: 75.3607177734375, Fine ToA: 74.43155670166016
Ground Truth ToA: 115.12060546875, Coarse ToA: 114.9883804321289, Fine ToA: 81.9876708984375
Ground Truth ToA: 126.7984390258789, Coarse ToA: 126.55022430419922, Fine ToA: 126.07229614257812
Ground Truth ToA: 145.0326690673828, Coarse ToA: 143.73260498046875, Fine ToA: 145.32974243164062
Ground Truth ToA: 86.33036041259766, Coarse ToA: 86.90059661865234, Fine ToA: 85.98880004882812
Ground Truth ToA: 57.188751220703125, Coarse ToA: 57.0697135925293, Fine ToA: 56.907596588134766
Ground Truth ToA: 138.03848266601562, Coarse ToA: 135.63514709472656, Fine ToA: 138.68423461914062
Ground Truth ToA: 54.37991714477539, Coarse ToA: 54.417388916015625, Fine ToA: 53.80685806274414
Ground Truth ToA: 107.39447021484375, Coarse ToA: 107.93891906738281, Fine ToA: 107.90204620361328
Ground Truth ToA: 65.93606567382812, Coarse ToA: 64.46395874023438, Fine ToA: 66.35163116455078
Ground Truth ToA: 65.93341827392578, Coarse ToA: 64.01880645751953, Fine ToA: 65.45500183105469
Ground Truth ToA: 124.65454864501953, Coarse ToA: 126.01054382324219, Fine ToA: 113.02749633789062
Ground Truth ToA: 134.47244262695312, Coarse ToA: 135.53863525390625, Fine ToA: 134.16006469726562
Ground Truth ToA: 119.45492553710938, Coarse ToA: 120.66949462890625, Fine ToA: 119.25566864013672
Ground Truth ToA: 130.03488159179688, Coarse ToA: 131.1024169921875, Fine ToA: 129.798583984375
Ground Truth ToA: 65.8310546875, Coarse ToA: 66.50727081298828, Fine ToA: 65.13710021972656
Ground Truth ToA: 107.16828918457031, Coarse ToA: 105.30775451660156, Fine ToA: 106.15840911865234
Ground Truth ToA: 67.28660583496094, Coarse ToA: 63.99040985107422, Fine ToA: 54.007781982421875
Ground Truth ToA: 93.53533172607422, Coarse ToA: 96.85575866699219, Fine ToA: 96.12086486816406
Ground Truth ToA: 100.55120849609375, Coarse ToA: 100.05876159667969, Fine ToA: 100.48225402832031
Ground Truth ToA: 104.58216857910156, Coarse ToA: 102.95220184326172, Fine ToA: 104.39727783203125
Ground Truth ToA: 131.01095581054688, Coarse ToA: 129.05636596679688, Fine ToA: 84.27141571044922
Ground Truth ToA: 132.31614685058594, Coarse ToA: 130.88743591308594, Fine ToA: 132.66595458984375
Ground Truth ToA: 64.28303527832031, Coarse ToA: 63.66158676147461, Fine ToA: 88.86243438720703
Ground Truth ToA: 110.28079986572266, Coarse ToA: 108.15413665771484, Fine ToA: 77.81908416748047
Ground Truth ToA: 83.20755004882812, Coarse ToA: 80.55104064941406, Fine ToA: 82.81011199951172
Ground Truth ToA: 101.78170776367188, Coarse ToA: 97.43118286132812, Fine ToA: 139.02273559570312
Ground Truth ToA: 58.82551574707031, Coarse ToA: 57.3828125, Fine ToA: 58.151432037353516
Ground Truth ToA: 148.55064392089844, Coarse ToA: 147.60858154296875, Fine ToA: 147.3309326171875
Ground Truth ToA: 108.59883880615234, Coarse ToA: 109.3108139038086, Fine ToA: 108.54146575927734
Ground Truth ToA: 124.83583068847656, Coarse ToA: 123.14012908935547, Fine ToA: 124.94207763671875
Ground Truth ToA: 87.41732788085938, Coarse ToA: 85.92414855957031, Fine ToA: 86.67942810058594
Ground Truth ToA: 77.68140411376953, Coarse ToA: 77.49320220947266, Fine ToA: 77.3919677734375
Ground Truth ToA: 136.53651428222656, Coarse ToA: 134.9835662841797, Fine ToA: 135.13104248046875
Ground Truth ToA: 122.46813201904297, Coarse ToA: 122.59233093261719, Fine ToA: 50.79752731323242
Ground Truth ToA: 50.80473709106445, Coarse ToA: 51.72779083251953, Fine ToA: 50.716827392578125
Ground Truth ToA: 58.71430587768555, Coarse ToA: 58.12166976928711, Fine ToA: 59.044063568115234
Ground Truth ToA: 52.71486282348633, Coarse ToA: 51.57108688354492, Fine ToA: 52.59405517578125
Ground Truth ToA: 148.508056640625, Coarse ToA: 148.12191772460938, Fine ToA: 148.21197509765625
Ground Truth ToA: 53.67960739135742, Coarse ToA: 53.54056930541992, Fine ToA: 53.47005081176758
Ground Truth ToA: 99.79595184326172, Coarse ToA: 100.68395233154297, Fine ToA: 100.34174346923828
Ground Truth ToA: 135.71279907226562, Coarse ToA: 138.12091064453125, Fine ToA: 135.27674865722656
Ground Truth ToA: 108.20283508300781, Coarse ToA: 106.48635864257812, Fine ToA: 143.4839630126953
Ground Truth ToA: 136.65567016601562, Coarse ToA: 133.67601013183594, Fine ToA: 60.2044677734375
Ground Truth ToA: 84.97893524169922, Coarse ToA: 81.68524169921875, Fine ToA: 84.1796875
Ground Truth ToA: 112.80107116699219, Coarse ToA: 112.47188568115234, Fine ToA: 113.03038024902344
Ground Truth ToA: 75.37417602539062, Coarse ToA: 75.2096939086914, Fine ToA: 75.87837219238281
Ground Truth ToA: 58.14387130737305, Coarse ToA: 57.16944122314453, Fine ToA: 57.74736404418945
Ground Truth ToA: 120.41405487060547, Coarse ToA: 119.27995300292969, Fine ToA: 119.50267791748047
Ground Truth ToA: 110.74842071533203, Coarse ToA: 109.34630584716797, Fine ToA: 109.26666259765625
Ground Truth ToA: 125.28816986083984, Coarse ToA: 123.26990509033203, Fine ToA: 124.45419311523438
Ground Truth ToA: 108.00234985351562, Coarse ToA: 106.57443237304688, Fine ToA: 107.90864562988281
Ground Truth ToA: 143.6645965576172, Coarse ToA: 146.9244384765625, Fine ToA: 147.25448608398438
Ground Truth ToA: 53.219947814941406, Coarse ToA: 56.67280960083008, Fine ToA: 52.203975677490234
Ground Truth ToA: 50.34172821044922, Coarse ToA: 51.934783935546875, Fine ToA: 51.09142303466797
Ground Truth ToA: 139.08285522460938, Coarse ToA: 142.07229614257812, Fine ToA: 141.11863708496094
Ground Truth ToA: 109.75047302246094, Coarse ToA: 111.14765930175781, Fine ToA: 111.09236145019531
Ground Truth ToA: 55.23347854614258, Coarse ToA: 53.11470413208008, Fine ToA: 55.0870475769043
Ground Truth ToA: 131.60328674316406, Coarse ToA: 131.7827911376953, Fine ToA: 131.7778778076172
Ground Truth ToA: 92.7164077758789, Coarse ToA: 93.44585418701172, Fine ToA: 93.93202209472656
Ground Truth ToA: 123.04473114013672, Coarse ToA: 122.01859283447266, Fine ToA: 122.48413848876953
Ground Truth ToA: 144.82826232910156, Coarse ToA: 140.9713592529297, Fine ToA: 143.84991455078125
Ground Truth ToA: 123.87254333496094, Coarse ToA: 122.77145385742188, Fine ToA: 123.77378845214844
Ground Truth ToA: 125.97591400146484, Coarse ToA: 126.43645477294922, Fine ToA: 125.14328002929688
Ground Truth ToA: 104.54258728027344, Coarse ToA: 104.3687973022461, Fine ToA: 104.61717224121094
Ground Truth ToA: 135.13661193847656, Coarse ToA: 138.2025604248047, Fine ToA: 134.81494140625
Ground Truth ToA: 129.07852172851562, Coarse ToA: 138.40135192871094, Fine ToA: 129.8121795654297
Ground Truth ToA: 142.8168487548828, Coarse ToA: 143.79263305664062, Fine ToA: 142.12171936035156
Ground Truth ToA: 59.32024002075195, Coarse ToA: 59.8238410949707, Fine ToA: 59.76203918457031
Ground Truth ToA: 94.3485107421875, Coarse ToA: 95.79598999023438, Fine ToA: 93.54402160644531
Ground Truth ToA: 149.218505859375, Coarse ToA: 147.27784729003906, Fine ToA: 149.2310791015625
Ground Truth ToA: 66.11827087402344, Coarse ToA: 65.53074645996094, Fine ToA: 65.85307312011719
Ground Truth ToA: 121.8849105834961, Coarse ToA: 120.9120101928711, Fine ToA: 121.52861022949219
Ground Truth ToA: 70.18501281738281, Coarse ToA: 69.02020263671875, Fine ToA: 69.99291229248047
Ground Truth ToA: 92.61323547363281, Coarse ToA: 93.3654556274414, Fine ToA: 92.70086669921875
Ground Truth ToA: 66.15288543701172, Coarse ToA: 69.34477233886719, Fine ToA: 67.53022766113281
Ground Truth ToA: 88.61797332763672, Coarse ToA: 84.9311294555664, Fine ToA: 131.6090545654297
Ground Truth ToA: 113.64885711669922, Coarse ToA: 112.40541076660156, Fine ToA: 113.82688903808594
Ground Truth ToA: 101.92399597167969, Coarse ToA: 101.07097625732422, Fine ToA: 104.39935302734375
Ground Truth ToA: 70.01456451416016, Coarse ToA: 69.37100982666016, Fine ToA: 69.0388412475586
Ground Truth ToA: 68.90733337402344, Coarse ToA: 66.47659301757812, Fine ToA: 68.78535461425781
Ground Truth ToA: 132.39634704589844, Coarse ToA: 130.10235595703125, Fine ToA: 132.0983123779297
Ground Truth ToA: 139.87893676757812, Coarse ToA: 139.93324279785156, Fine ToA: 139.49627685546875
Ground Truth ToA: 104.73621368408203, Coarse ToA: 106.04450225830078, Fine ToA: 104.40210723876953
Ground Truth ToA: 82.94161987304688, Coarse ToA: 83.20256805419922, Fine ToA: 82.84696197509766
Ground Truth ToA: 89.7940673828125, Coarse ToA: 91.67002868652344, Fine ToA: 50.51338195800781
Ground Truth ToA: 86.98171997070312, Coarse ToA: 86.6078109741211, Fine ToA: 87.4220962524414
Ground Truth ToA: 145.27896118164062, Coarse ToA: 143.93597412109375, Fine ToA: 61.478050231933594
Ground Truth ToA: 70.98631286621094, Coarse ToA: 67.52657318115234, Fine ToA: 70.69173431396484
Ground Truth ToA: 95.77344512939453, Coarse ToA: 93.46630859375, Fine ToA: 137.13214111328125
Ground Truth ToA: 103.32568359375, Coarse ToA: 105.02704620361328, Fine ToA: 104.48332214355469
Ground Truth ToA: 107.62989044189453, Coarse ToA: 106.67976379394531, Fine ToA: 107.4408950805664
Ground Truth ToA: 140.4155731201172, Coarse ToA: 142.63645935058594, Fine ToA: 61.540740966796875
Ground Truth ToA: 125.18103790283203, Coarse ToA: 123.11921691894531, Fine ToA: 125.4616470336914
Ground Truth ToA: 71.72985076904297, Coarse ToA: 67.97107696533203, Fine ToA: 74.36347961425781
Ground Truth ToA: 79.48523712158203, Coarse ToA: 77.88877868652344, Fine ToA: 79.7386245727539
Ground Truth ToA: 115.75582885742188, Coarse ToA: 115.08242797851562, Fine ToA: 115.73078155517578
Ground Truth ToA: 107.57894897460938, Coarse ToA: 115.20417022705078, Fine ToA: 107.92159271240234
Ground Truth ToA: 105.44581604003906, Coarse ToA: 105.6449203491211, Fine ToA: 105.46969604492188
Ground Truth ToA: 108.27935028076172, Coarse ToA: 106.82268524169922, Fine ToA: 89.99608612060547
